native,clean_stem,clean_label
a02,relation_to_head,Relationship to the household head
a02_v2,relation_to_head,"Relationship to the household head, 14-code list"
a03m,birth_month,Month of birth
a03y,birth_year,Year of birth
a05,present_marital_status,Present marital status as reported
a06,difficulty_seeing,"Difficulty seeing, even with glasses (Washington Group)"
a07,difficulty_hearing,"Difficulty hearing, even with a hearing aid (Washington Group)"
a08,difficulty_walking,Difficulty walking or climbing steps (Washington Group)
a09,difficulty_remembering,Difficulty remembering or concentrating (Washington Group)
a0a,anyone_difficulty_seeing,Anyone in the household has difficulty seeing
a0b,anyone_difficulty_hearing,Anyone in the household has difficulty hearing
a0c,anyone_difficulty_walking,Anyone in the household has difficulty walking or climbing steps
a0d,anyone_difficulty_remember,Anyone in the household has difficulty remembering
a10,difficulty_self_care,Difficulty with self-care such as washing or dressing
a11,difficulty_communicating,Difficulty communicating in the usual language
a12,nationality,Nationality
a12_v2,nationality,Nationality
a13,residential_status,Residential status in Rwanda
a14a,country_of_birth,Country or area of birth
a14a_v2,country_of_birth,Country or area of birth
a14b,district_of_birth,District of birth
a14b_v2,district_of_birth_2024,District of birth; the 2024 file mixes district and sector codes
a15,always_in_district,Usual residence always in this district
a15_v2,lived_outside_6m,Lived outside this district for at least 6 months
a16y,years_since_last_move,Years since the last move of usual residence
a17a,previous_district,District or foreign country of previous residence
a17a_v2,previous_country,Country of residence before arriving here
a17b,previous_district_code,District code of the previous residence
a18,previous_place_type,Kind of place of the previous residence
a19,years_previous_location,Duration of stay in the previous location
a1a,anyone_difficulty_self_care,Anyone in the household has difficulty with self-care
a1b,anyone_difficulty_communic,Anyone in the household has difficulty communicating
a20,reason_for_moving,Reason for moving to the current location
a21,away_from_home_12m,Away from home in the last 12 months
a22,months_away_12m,Months away from the household in the last 12 months
a23,member_other_household,Member of another household while absent
a24,household_member,Is a household member
a25,child_studying_working,Child currently studying or working (ages 5-13)
a26,child_type_of_work,Type of work the child does
a27,child_days_per_week,Days per week the child worked in these activities
a28,child_hours_per_day,Hours per day the child worked in these activities
a29,child_hours_firewood,"Child hours collecting firewood, last 7 days"
a30,child_hours_fetching_water,"Child hours fetching water, last 7 days"
a31,child_hours_fodder,"Child hours searching fodder or grazing, last 7 days"
a32,child_hours_construction,"Child hours constructing the dwelling, last 7 days"
a33,child_hours_chores,"Child hours doing household chores, last 7 days"
a34,child_hours_childcare,"Child hours looking after children, last 7 days"
a35,child_hours_care_2017,"Child hours looking after children and the elderly, last 7 days"
act_hrs,actual_hours_worked,"Actual hours worked in all jobs, NISR derived"
acthrs,actual_hours_interval,"Actual hours worked, interval, NISR derived"
agdis,age_group_5_15_16_plus,"Age group 5-15 or 16 and over, NISR derived"
age10,age_group_broad,"Broad age group, NISR derived"
age3,age_group_selected,"Selected age group, NISR derived"
age3_16_30,youth_age_group,"Youth age group 16-30, NISR derived"
age5,age_group_five_years,"Five-year age group, NISR derived"
attained,education_completed,"Level of education completed, NISR derived"
b01,student,Currently a student attending school
b02a,education_level_highest,Highest educational level attended
b02b,years_completed_in_level,Years completed in that level of education
b03,highest_certificate,Highest certificate obtained
b04,place_of_qualification,Place where the highest qualification was obtained
b05a,specialisation_area,Area of specialisation
b05b,esced_code,ESCED code of the specialisation
b05c,esced_name,ESCED name of the specialisation
b06,read_and_write,Ability to read and write
b07,attending_tvet,Currently attending a trade or technical skills school
b08,learned_tvet,Learned a trade or technical vocational course (TVET)
b09,training_duration,Duration of the training
b10,tvet_skills_type,Type of technical skills learned
b10_v2,tvet_skills_type,Type of technical skills learned
b11,skills_acquired_where,Where the skills were acquired
b12,course_sponsor,Main sponsor of the course
b13,course_completed,Completed the course
b13_v2,course_completed,Completed the course
b13a,course_completion_year,Year of completion of the course
b13b,course_completion_year_2025,Year of completion of the course
b14,after_course,What happened after completing the course
b14_v2,after_course,What happened after completing the course
b15,computer_level,Level of computer use
b15_v2,job_after_course,Time to get a job or start a business after the course
b16a,english_level,Level of spoken English
b16a_v2,english_level,Level of spoken English
b16a_v3,english_level,Level of spoken English
b16b,french_level,Level of spoken French
b16b_v2,french_level,Level of spoken French
b16b_v3,french_level,Level of spoken French
b16c,swahili_level,Level of spoken Swahili
b16c_v2,swahili_level,Level of spoken Swahili
b16c_v3,swahili_level,Level of spoken Swahili
b17,ict_skills_any,"Able to apply ICT skills, any"
b17_a,ict_copy_file,ICT skill: copying or moving a file or folder
b17_b,ict_copy_paste,ICT skill: copy and paste
b17_c,ict_email_attachment,ICT skill: sending email with attached files
b17_d,ict_spreadsheet_formula,ICT skill: basic arithmetic formulae in a spreadsheet
b17_e,ict_install_devices,ICT skill: connecting and installing new devices
b17_f,ict_transfer_files,ICT skill: transferring files between a computer and devices
b17_g,ict_skills_none,ICT skills: none
b18,used_social_media_3m,Used social media in the last three months
b19,used_internet_3m,Used the internet in the last three months
c01,worked_for_pay_7d,"Worked for wage, salary, commission or tips, last 7 days"
c02,ran_business_7d,"Ran a business activity, last 7 days"
c02a,ran_farming_7d,"Ran a farming or rearing activity, last 7 days"
c03,helped_unpaid_7d,"Helped unpaid in a household business, last 7 days"
c04,work_in_agriculture,"Work in agriculture, farming or fishing"
c05,products_for_sale,Products of the activity mainly for sale or for own use
c06,job_absent_7d,"Had a paid job or business but was absent, last 7 days"
c07,reason_absent,Main reason for absence from work
c07_v2,reason_absent,Main reason for absence from work
c08,expected_absence,Expected total absence from work
c09,income_during_absence,Continues to receive income during the absence
c09a,absence_category,Category of the situation of the absent person
c10,other_paid_job,Had another paid job or business
c10a,number_other_jobs,Number of jobs other than the main job
c11a,usual_hours_main_job,"Usual hours per week, main job"
c11b,usual_hours_second_job,"Usual hours per week, secondary job"
c12a,days_worked_main_job,"Days worked in the main job, last 7 days"
c12b,days_worked_second_job,"Days worked in the secondary job, last 7 days"
c13a,hours_per_day_main_job,"Hours per day worked in the main job, last 7 days"
c13b,hours_per_day_second_job,"Hours per day worked in the secondary job, last 7 days"
c14,hours_all_jobs_7d,"Hours usually worked at all jobs, last 7 days"
c15,reason_long_hours,Main reason for working long hours
c16,looked_more_work_4w,"Looked for additional or other work, last 4 weeks"
c17,wants_more_hours,Would want to work more hours per week
c18,available_more_work,Available for additional work if an opportunity arose
c19,looked_for_job_4w,"Looked for a paid job or tried to start a business, last 4 weeks"
c19a,tried_start_business_4w,"Tried to start a business, last 4 weeks"
c20,job_arranged,Already found a job or arranged to start a business
c20a,start_new_job_when,How soon the person expects to start the new job
c21,job_search_method,"Main method used to find a job, last 4 weeks"
c21_a,search_financial,"Search method: arranging financial resources, permits or licences"
c21_b,search_land_premises,"Search method: looking for land, premises or equipment"
c21_c,search_friends,Search method: help of friends and relatives
c21_d,search_employment_agency,Search method: registering with an employment agency
c21_e,search_employers_direct,Search method: applying to employers directly
c21_f,search_newspaper_ads,Search method: newspaper or internet advertisements
c21_g,search_online_resume,Search method: placing or updating online resumes
c21_h,search_no_method,Search method: none
c21_l,search_other_text,"Search method: other, text"
c21a,search_financial,"Search method: arranging financial resources, permits or licences"
c21a_v2,search_action_1st,First job-search action mentioned
c21a_v3,search_apply_employers_2024,Search method: applying to prospective employers
c21b,search_land,"Search method: looking for land, premises or equipment"
c21b_v2,search_action_2nd,Second job-search action mentioned
c21b_v3,search_place_advert_2024,Search method: placing a job advertisement
c21c,search_friends,Search method: help of friends and relatives
c21c_v2,search_action_3rd,Third job-search action mentioned
c21c_v3,search_post_resume_2024,Search method: posting or updating a resume
c21d,search_agency,Search method: registering with an employment agency
c21d_v2,search_action_4th,Fourth job-search action mentioned
c21e,search_employers,Search method: applying to employers directly
c21e_v2,search_test_interview_2024,Search method: taking a test or interview
c21f,search_adverts,Search method: newspaper or internet advertisements
c21f_v2,search_help_relatives_2024,Search method: help of relatives
c21g,search_resume,Search method: placing or updating online resumes
c21g_v2,search_check_worksites_2024,Search method: checking factories or worksites
c21h,search_no_method,Search method: none
c21h_v2,search_wait_street_2024,Search method: waiting on the street to be recruited
c21i,search_financial_help_2024,Search method: seeking financial help to start a business
c21j,search_land_equipment_2024,"Search method: looking for land, building or equipment"
c21k,search_permit_licence_2024,Search method: applying for a permit or licence
c21l,search_other,Search method: other
c21l_v2,search_method_item_2024,Job-search method item as shipped in 2024
c21m,search_other_text_2024,"Search method: other, text"
c22,unemployment_spell,Duration without work and looking for a job
c22_v2,unemployment_spell,Duration without work and looking for a job
c23,wants_paid_job,Would want to work if a job or business were available
c24,reason_not_search,Main reason for not trying to find a job or start a business
c24_v2,reason_not_search,Main reason for not trying to find a job or start a business
c25,available_to_start,Available to start if a job or business opportunity arose
c26,reason_no_start,Main reason the person could not start working
c26_v2,reason_no_start,Main reason the person could not start working
cash,monthly_cash_income,"Monthly income in cash of employees, NISR derived"
combhrs,combined_hours,Combined hours of own-use production and employment
consent,consent_2021,Consent to the interview
d01b2,main_job_tasks,Main tasks and duties in the main job
d02,min_education_for_job,"Minimum education needed for the main job, opinion"
d03a,workplace_name,Name of the workplace of the main job
d03a1,workplace_name_text,"Name of the workplace of the main job, text"
d03a_v2,workplace_name,Name of the workplace of the main job
d03b,main_job_goods_services,Main goods or services produced at the workplace
d03b1,isic_main_job,ISIC code of the main job
d03b1_v2,isic_main_job,ISIC code of the main job; two-digit divisions in the 2020 file
d04,inst_sector_main,Institutional sector of the main job
d04_v2,inst_sector_main,Institutional sector of the main job
d05,employment_status,Status in employment in the main job
d05_v2,employment_status_2025,Status in employment in the main job (ICSE-18)
d05a,workplace_size,"Persons at the workplace including the person, bracket"
d05a1,workplace_size_number,"Persons at the workplace including the person, number"
d06,contract_type,Written contract or oral agreement
d07,contract_agreement,Type of contract or agreement
d07_v2,contract_agreement,Type of contract or agreement
d08,contract_duration,Duration of the contract
d08_v2,contract_duration,Duration of the contract
d08a,minimum_hours_agreed,Minimum hours or work agreed
d09a,employer_social_security,Employer pays social security contributions
d09b,employer_health_insurance,Employer pays health insurance contributions
d10,activity_registered_rra,Economic activity registered with the Rwanda Revenue Authority
d10_e,ejo_heza_contributions,Contributes to the Ejo Heza pension scheme
d10a,paid_annual_leave,Entitled to paid annual leave
