scope,wave,native,clean_name,clean_label,native_label
pooled:LFS_pooled_person.dta,"2017,2018,2019,2020,2021,2022,2023",a02,lfs_relation_to_head_2017_2023,LFS 2017-2023: Relationship to the household head,Relationship
pooled:LFS_pooled_person.dta,"2024,2025",a02_v2,lfs_relation_to_head_2024_2025,"LFS 2024-2025: Relationship to the household head, 14-code list",Relationship
pooled:LFS_pooled_person.dta,"2017,2018,2022,2023,2024,2025",a03m,lfs_birth_month,LFS 2017-2025: Month of birth,Date of birth Month
pooled:LFS_pooled_person.dta,"2017,2018,2022,2023,2024,2025",a03y,lfs_birth_year,LFS 2017-2025: Year of birth,date of birth year
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a05,lfs_present_marital_status,LFS 2017-2025: Present marital status as reported,Present marital status
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a06,lfs_difficulty_seeing,"LFS 2017-2025: Difficulty seeing, even with glasses (Washington Group)","Do you have difficulty seeing, even if wearing glasses?"
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a07,lfs_difficulty_hearing,"LFS 2017-2025: Difficulty hearing, even with a hearing aid (Washington Group)","Do you have difficulty hearing, even if using a hearing aid?"
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a08,lfs_difficulty_walking,LFS 2017-2025: Difficulty walking or climbing steps (Washington Group),Do you have difficulty walking or climbing steps?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a09,lfs_difficulty_remembering,LFS 2017-2025: Difficulty remembering or concentrating (Washington Group),Do you have difficulty remembering or concentrating?
pooled:LFS_pooled_person.dta,2020,a0a,lfs_anyone_difficulty_seeing,LFS 2020: Anyone in the household has difficulty seeing,"Does anyone has difficulty seeing, even if wearing glasses in the HH?"
pooled:LFS_pooled_person.dta,2020,a0b,lfs_anyone_difficulty_hearing,LFS 2020: Anyone in the household has difficulty hearing,"Does anyone has difficulty hearing, even if using a hearing aid?"
pooled:LFS_pooled_person.dta,2020,a0c,lfs_anyone_difficulty_walking,LFS 2020: Anyone in the household has difficulty walking or climbing steps,Does anyone has difficulty walking or climbing steps?
pooled:LFS_pooled_person.dta,2020,a0d,lfs_anyone_difficulty_remember,LFS 2020: Anyone in the household has difficulty remembering,Does anyone has difficulty remembering or concentrating?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a10,lfs_difficulty_self_care,LFS 2017-2025: Difficulty with self-care such as washing or dressing,Do you have difficulty (with self-care such as) washing all over or dressing?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a11,lfs_difficulty_communicating,LFS 2017-2025: Difficulty communicating in the usual language,"Using your usual language, do you have difficulty communicating, mple understand"
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024",a12,lfs_nationality_2017_2024,LFS 2017-2024: Nationality,What is nationality?
pooled:LFS_pooled_person.dta,2025,a12_v2,lfs_nationality_2025,LFS 2025: Nationality,What is nationality?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a13,lfs_residential_status,LFS 2017-2025: Residential status in Rwanda,Residential Status in Rwanda
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024",a14a,lfs_country_of_birth_2017_2024,LFS 2017-2024: Country or area of birth,Country/Area of birth
pooled:LFS_pooled_person.dta,2025,a14a_v2,lfs_country_of_birth_2025,LFS 2025: Country or area of birth,Country/Area of birth
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2025",a14b,lfs_district_of_birth_2017_2025,LFS 2017-2025: District of birth,District of birth
pooled:LFS_pooled_person.dta,2024,a14b_v2,lfs_district_of_birth_2024,LFS 2024: District of birth; the 2024 file mixes district and sector codes,District of birth -- 2024 file mixes district codes (11-57) and sector codes (1101-5714; district = code // 100)
pooled:LFS_pooled_person.dta,"2019,2022,2023,2024",a15,lfs_always_in_district_2019_2024,LFS 2019-2024: Usual residence always in this district,Has usual place of residence  always been in this district?
pooled:LFS_pooled_person.dta,"2021,2025",a15_v2,lfs_lived_outside_6m_2021_2025,LFS 2021-2025: Lived outside this district for at least 6 months,Did he/she lived outside this district for at least 6 consecutive months?
pooled:LFS_pooled_person.dta,"2019,2021,2022,2023,2024,2025",a16y,lfs_years_since_last_move,LFS 2019-2025: Years since the last move of usual residence,The period of usual place of residence( last move)-Years
pooled:LFS_pooled_person.dta,"2019,2021,2022,2023,2024",a17a,lfs_previous_district_2019_2024,LFS 2019-2024: District or foreign country of previous residence,District or foreign country did he/she live.
pooled:LFS_pooled_person.dta,2025,a17a_v2,lfs_previous_country_2025,LFS 2025: Country of residence before arriving here,In which country(Name) live in prior to arrive here?
pooled:LFS_pooled_person.dta,"2019,2021,2022,2023,2024,2025",a17b,lfs_previous_district_code,LFS 2019-2025: District code of the previous residence,District code
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",a18,lfs_previous_place_type,LFS 2017-2023: Kind of place of the previous residence,Kind of place he/she lived in prior to arriving here?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a19,lfs_years_previous_location,LFS 2017-2025: Duration of stay in the previous location,How long did he/she live in the previous location prior to arriving here?
pooled:LFS_pooled_person.dta,2020,a1a,lfs_anyone_difficulty_self_care,LFS 2020: Anyone in the household has difficulty with self-care,Does anyone has difficulty (with self-care such as) washing all over or dressing
pooled:LFS_pooled_person.dta,2020,a1b,lfs_anyone_difficulty_communic,LFS 2020: Anyone in the household has difficulty communicating,"Using your usual language, does anyone has difficulty communicating, mple unders"
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",a20,lfs_reason_for_moving,LFS 2017-2025: Reason for moving to the current location,Reason  for moving to the current location
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",a21,lfs_away_from_home_12m,LFS 2017-2023: Away from home in the last 12 months,Has he/she been away from home in this last 12 months?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",a22,lfs_months_away_12m,LFS 2017-2023: Months away from the household in the last 12 months,Months during the past 12 months has he/she been away from this HH
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",a23,lfs_member_other_household,LFS 2017-2023: Member of another household while absent,"While absent, is/was he/she a member of another household?"
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",a24,lfs_household_member,LFS 2017-2023: Is a household member,Is he/she household member?
pooled:LFS_pooled_person.dta,"2017,2019",a25,lfs_child_studying_working,LFS 2017-2019: Child currently studying or working (ages 5-13),Is (NAME) currently studying or working?
pooled:LFS_pooled_person.dta,"2017,2019",a26,lfs_child_type_of_work,LFS 2017-2019: Type of work the child does,What type of work does (NAME) do?
pooled:LFS_pooled_person.dta,"2017,2019",a27,lfs_child_days_per_week,LFS 2017-2019: Days per week the child worked in these activities,How many days per week did [NAME] usually work in these activities?
pooled:LFS_pooled_person.dta,"2017,2019",a28,lfs_child_hours_per_day,LFS 2017-2019: Hours per day the child worked in these activities,How many hours per day did [NAME] usually work in these activities?
pooled:LFS_pooled_person.dta,"2017,2019",a29,lfs_child_hours_firewood,"LFS 2017-2019: Child hours collecting firewood, last 7 days","In the last 7 days, how many hours did [NAME] spend collecting firewood for the"
pooled:LFS_pooled_person.dta,"2017,2019",a30,lfs_child_hours_fetching_water,"LFS 2017-2019: Child hours fetching water, last 7 days","In the last 7 days, how many hours did [NAME] spend fetching water for the house"
pooled:LFS_pooled_person.dta,"2017,2019",a31,lfs_child_hours_fodder,"LFS 2017-2019: Child hours searching fodder or grazing, last 7 days","In the last 7 days, how many hours did [NAME] spend searching for  fodder or gra"
pooled:LFS_pooled_person.dta,"2017,2019",a32,lfs_child_hours_construction,"LFS 2017-2019: Child hours constructing the dwelling, last 7 days","In the last 7 days, how many hours did [NAME] spend constructing your dwelling,"
pooled:LFS_pooled_person.dta,"2017,2019",a33,lfs_child_hours_chores,"LFS 2017-2019: Child hours doing household chores, last 7 days","In the last 7 days, how many hours did [NAME] spend doing household chores inclu"
pooled:LFS_pooled_person.dta,"2017,2019",a34,lfs_child_hours_childcare,"LFS 2017-2019: Child hours looking after children, last 7 days","In the last 7 days, how many  hours did [NAME] spend looking after children and"
pooled:LFS_pooled_person.dta,2017,a35,lfs_child_hours_care_2017,"LFS 2017: Child hours looking after children and the elderly, last 7 days","In the last 7 days, how many  hours did [NAME] spend looking after children and"
pooled:LFS_pooled_person.dta,"2017,2019,2020,2021,2022,2023,2024,2025",act_hrs,lfs_actual_hours_worked,"LFS 2017-2025: Actual hours worked in all jobs, NISR derived",Number of actual hours worked
pooled:LFS_pooled_person.dta,"2017,2019,2020,2021,2022,2023,2024,2025",acthrs,lfs_actual_hours_interval,"LFS 2017-2025: Actual hours worked, interval, NISR derived",Actual hours intervals
pooled:LFS_pooled_person.dta,"2022,2023",agdis,lfs_age_group_5_15_16_plus,"LFS 2022-2023: Age group 5-15 or 16 and over, NISR derived",RECODE of A04 (Age at last birthday)
pooled:LFS_pooled_person.dta,"2017,2018,2019,2020,2021,2022,2023,2024,2025",age,lfs_age,LFS: Age in completed years,Age in years
pooled:LFS_pooled_person.dta,"2019,2020,2021,2022,2023,2024,2025",age10,lfs_age_group_broad,"LFS 2019-2025: Broad age group, NISR derived",Broader age group
pooled:LFS_pooled_person.dta,"2022,2023,2024,2025",age3,lfs_age_group_selected,"LFS 2022-2025: Selected age group, NISR derived",selected age group
pooled:LFS_pooled_person.dta,"2022,2023,2024,2025",age3_16_30,lfs_youth_age_group,"LFS 2022-2025: Youth age group 16-30, NISR derived",Youth age groups
pooled:LFS_pooled_person.dta,"2019,2020,2021,2022,2023,2024,2025",age5,lfs_age_group_five_years,"LFS 2019-2025: Five-year age group, NISR derived",Five years age group
pooled:LFS_pooled_person.dta,"2019,2020,2021,2022,2023,2024,2025",attained,lfs_education_completed,"LFS 2019-2025: Level of education completed, NISR derived",Level of education completed
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",b01,lfs_student,LFS 2017-2025: Currently a student attending school,IS [NAME] a student(Is he /she attending school or would be attending one if sch
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",b02a,lfs_education_level_highest,LFS 2017-2025: Highest educational level attended,What is the Highest educational level is/ have [NAME] attending / attended?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",b02b,lfs_years_completed_in_level,LFS 2017-2025: Years completed in that level of education,How many years have you completed in that level of education?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",b03,lfs_highest_certificate,LFS 2017-2023: Highest certificate obtained,Highest certificate obtained
pooled:LFS_pooled_person.dta,"2017,2018,2019",b04,lfs_place_of_qualification,LFS 2017-2019: Place where the highest qualification was obtained,The place of  the highest qualification attained
pooled:LFS_pooled_person.dta,"2018,2019,2021",b05a,lfs_specialisation_area,LFS 2018-2021: Area of specialisation,Area of specialization
pooled:LFS_pooled_person.dta,"2017,2019,2021",b05b,lfs_esced_code,LFS 2017-2021: ESCED code of the specialisation,ESCED code
pooled:LFS_pooled_person.dta,"2019,2021",b05c,lfs_esced_name,LFS 2019-2021: ESCED name of the specialisation,ESCED name
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",b06,lfs_read_and_write,LFS 2017-2023: Ability to read and write,Ability to read and write
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",b07,lfs_attending_tvet,LFS 2017-2025: Currently attending a trade or technical skills school,Currently attending any trade or technical Skills school
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",b08,lfs_learned_tvet,LFS 2017-2025: Learned a trade or technical vocational course (TVET),Did you learn any Trade or Technical vocational course (TVET)?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023,2024,2025",b09,lfs_training_duration,LFS 2017-2025: Duration of the training,How long will/did this Training take?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2022,2023,2024",b10,lfs_tvet_skills_type_2017_2024,LFS 2017-2024: Type of technical skills learned,Type of technical skills learned?
pooled:LFS_pooled_person.dta,"2021,2025",b10_v2,lfs_tvet_skills_type_2021_2025,LFS 2021-2025: Type of technical skills learned,Type of technical skills learned?
pooled:LFS_pooled_person.dta,"2017,2018,2019",b11,lfs_skills_acquired_where,LFS 2017-2019: Where the skills were acquired,Where did (NAME) acquire these skills
pooled:LFS_pooled_person.dta,"2017,2018,2019",b12,lfs_course_sponsor,LFS 2017-2019: Main sponsor of the course,Who was the main sponsor for this course?
pooled:LFS_pooled_person.dta,"2017,2019,2022,2023,2024",b13,lfs_course_completed_2017_2024,LFS 2017-2024: Completed the course,Did [NAME] complete the course?
pooled:LFS_pooled_person.dta,"2018,2021,2025",b13_v2,lfs_course_completed_2018_2025,LFS 2018-2025: Completed the course,Did [NAME] complete the course?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021,2022,2023",b13a,lfs_course_completion_year,LFS 2017-2023: Year of completion of the course,In which year did (Name) complete this course?
pooled:LFS_pooled_person.dta,2025,b13b,lfs_course_completion_year_2025,LFS 2025: Year of completion of the course,In which year did (Name) complete this course?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2022,2023,2024",b14,lfs_after_course_2017_2024,LFS 2017-2024: What happened after completing the course,What happened after you completed the course?
pooled:LFS_pooled_person.dta,"2021,2025",b14_v2,lfs_after_course_2021_2025,LFS 2021-2025: What happened after completing the course,What happened after you completed the course?
pooled:LFS_pooled_person.dta,"2017,2018,2019,2021",b15,lfs_computer_level_2017_2021,LFS 2017-2021: Level of computer use,At what level could you use of computer?
pooled:LFS_pooled_person.dta,2025,b15_v2,lfs_job_after_course_2025,LFS 2025: Time to get a job or start a business after the course,How long did take(Name) to get a job or start own business after completing the
pooled:LFS_pooled_person.dta,"2017,2019",b16a,lfs_english_level_2017_2019,LFS 2017-2019: Level of spoken English,At what level could (Name) speak English
pooled:LFS_pooled_person.dta,2021,b16a_v2,lfs_english_level_2021,LFS 2021: Level of spoken English,At what level could (Name) speak English
pooled:LFS_pooled_person.dta,2018,b16a_v3,lfs_english_level_2018,LFS 2018: Level of spoken English,At what level could (Name) speak English
pooled:LFS_pooled_person.dta,"2017,2019",b16b,lfs_french_level_2017_2019,LFS 2017-2019: Level of spoken French,At what level could (Name) speak French
pooled:LFS_pooled_person.dta,2021,b16b_v2,lfs_french_level_2021,LFS 2021: Level of spoken French,At what level could (Name) speak French
pooled:LFS_pooled_person.dta,2018,b16b_v3,lfs_french_level_2018,LFS 2018: Level of spoken French,At what level could (Name) speak French
