variable,label,type,value_labels,n_value_labels,n_2019_A,n_2019_B,n_2019_C,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
season,"Season (A, B, C)",string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
wave,Wave id: <year>_<season>,string,,0,192553,192553,192553,192553,192553,192553,192553,192553,192553,192553,192553,192553,192553,192553,192553,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,0,0,17306,19274,2779,17376,16883,4926,0,16864,0,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,19805,19222,1731,16830,16398,3251,17342,16809,0,17376,16883,4926,16830,16864,2983,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
stratum,Sampling stratum (as shipped),int8,"0=Site, 10=Intensive cropland on hillside, 11=Intensive cropland     on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands …",7,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,"{""11"": [""11 Intensive cropland on hillsides"", ""Intensive cropland     on hillsides"", ""Intensive cropland on hillsides""], ""20"": [""20 Intensive cropland in marshlands"", ""Intensive cropland     in marshlands"", ""Intensive cropland in marshlands""], ""30"": [""30 Rangelands"", ""Rangelands""], ""40"": [""40 Household/ Village stratum"", ""40 Mixed"", ""Household/ Village     stratum"", ""Household/ Village stratum"", ""Mixed""], ""50"": [""50 Large scale farmer"", ""50 Site"", ""Large scale farmer""], ""10"": [""10 Intensive cropland on hillsides"", ""Intensive cropland on hillside"", ""Intensive cropland on hillsides"", ""Large scale farmer""], ""0"": [""LSF"", ""LSF/Season C site"", ""Large scale farm"", ""Season C Site"", ""Site""]}"
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
holder,Holder / questionnaire id (as shipped),double,,0,0,0,0,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
plot,Plot number within segment/holder,int8,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,19805,19222,1731,15947,16398,3251,17252,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s1q4,1.4 Segment,int16,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16000,16864,2983,,,,
s2q2,2.2 Plot area(sqm),double,,0,19805,19222,1731,0,0,0,17342,19333,2779,0,16883,4006,0,0,2983,,"s2q2_v2 (2020_A, 2020_B, 2020_C, 2022_A)",2019_A: 2.2 Ptot area in sqm; 2019_B: 2.2 Ptot area in sqm; 2019_C: 2.2 Ptot area in sqm,
s2q3_6,2.3.6 Farmer type,int8,"1=small scale farmer, 2=large scale farmer",2,19805,19222,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
s4q1,4.1 What is the degree of erosion on this plot?,int8,"1=Severe (Rill erosion, Gully erosion, Mass movement/landslides), 2=Moderate (Diffuse overland flow Erosion, Overland flow erosion,erosion by Infiltration), 3=Low (Wind erosion), 4=Very Low (Splash erosion)",4,19805,19222,1731,16830,16397,3250,17342,16809,2778,17376,16883,4926,16830,16864,2983,,,,"{""1"": [""Severe (Rill erosion, Gully erosion , Mass movement/landslides)"", ""Severe (Rill erosion, Gully erosion, Mass movement/landslides)""], ""2"": [""Moderate (Diffuse overland flow Erosion, Overland flow erosion,erosion by Infiltration)"", ""Moderate (Diffuse overland flow erosion, Overland flow erosion, erosion by infiltration)""], ""3"": [""Low (Wind erosion)"", ""Weak erosion (Splash erosion, Wind erosion)""]}"
s4q2,4.2 Is there any anti-erosion activity in any of your plots?,int8,"1=Yes, 2=No",2,19805,19222,1731,16830,16396,3250,17342,16809,2778,17376,16883,4926,16830,16864,2983,,,2019_A: 4.2 Is there any anti erosion activity on this plo; 2019_B: 4.2 Is there any anti erosion activity on this plo; 2019_C: 4.2 Is there any anti erosion activity on this plo,
s4q3,4.3 Is there any anti-erosion activity on this plot?,int8,"0=NA, 1=Yes, 2=No, 3=Progressive terraces, 4=Bench terraces …",11,15440,14876,1541,14951,14505,3077,17341,16809,2778,15991,15404,4721,15471,15400,2829,,,2019_A: 4.3 Types of anti-erosion activities existing in t; 2019_B: 4.3 Types of anti-erosion activities existing in t; 2019_C: 4.3 Types of anti-erosion activities existing in t,"{""1"": [""Ditches"", ""Yes""], ""2"": [""No"", ""Trees / Wind break/Shelterbelt""]}"
s4q4,4.4 Were these anti-erosion activities done during the current agricultural seas,int8,"1=Yes, 2=No",2,15440,14876,1541,12686,12107,2812,13620,12956,2452,13838,13177,4368,13333,13227,2631,,,2019_A: 4.4 Was this anti-erosion activity    done during ; 2019_B: 4.4 Was this anti-erosion activity    done during ; 2019_C: 4.4 Was this anti-erosion activity    done during ,
