variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,16080,15031,5094,13825,13080,1295,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,16080,15031,5094,13825,13080,1295,,,,
season,"Season (A, B, C)",string,,0,16080,15031,5094,13825,13080,1295,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,16080,15031,5094,13825,13080,1295,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,16080,15031,5094,0,1356,0,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,16080,15031,5094,13825,13080,1295,,,,
stratum,Sampling stratum (as shipped),int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Household/ Village stratum",4,15191,13827,5094,0,0,0,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,16080,15031,5094,13825,13080,1295,,,,
plot,Plot number within segment/holder,int8,,0,16080,15031,5094,13825,13080,1295,,,,
s2q2,2.2 Plot area in sqm,double,,0,16080,15031,5094,13825,1356,0,,"s2q2_v2 (2018_B_ssf, 2018_C_ssf)",2017_A_lsf: 2.2.Plot area(m2); 2017_A_ssf: 2.2.Plot area(sqm); 2017_B_lsf: 2.2 Plot size in (m2); 2017_B_ssf: 2.2 Plot size in (m2); 2017_C_ssf: 2.2 Plot size in (m2); 2018_A_lsf: 2.2 Area m2; 2018_A_ssf: 2.2.Plot area(sqm),
s4q1,4.1 What is the degree of erosion on this plot?,int8,"1=       Severe(Rill erosion, Gully erosion,Mass movement/Landslides), 2=       Moderate(Diffuse overland flow erosion, overland flow erosion, erosion by infiltration), 3=       Low(splash erosion, wind erosion)",3,16077,15031,5094,13825,13077,1295,,,2017_A_lsf: 4.1.What is the degree of erosion on this plot?; 2017_A_ssf: 4.1.What is the degree of erosion on this plot?,"{""1"": [""Severe (Rill erosion, Gully erosion,Mass movement/landslides)"", ""Severe (Rill erosion,Gully erosion,Mass movement/landslides)"", ""Severe(Rill erosion, Gully erosion,Mass movement/Landslides)"", ""Severe(Rill erosion,Gully erosion,Mass movement/landslides)""], ""2"": [""Moderate (Diffuse overland flow erosion,Overland flow erosion, erosion by infiltration)"", ""Moderate(Diffuse overland flow erosion, Overland flow erosion ,erosion by infiltration)"", ""Moderate(Diffuse overland flow erosion, overland flow erosion, erosion by infiltration)""], ""3"": [""Low (Splash, wind erosion)"", ""Low(Splash erosion, Wind erosion)"", ""Low(splash erosion, wind erosion)""]}"
s4q2,4.2 Is there any anti erosion activity on this plot?,int8,"1=Yes, 2=No",2,16080,15031,5094,13825,13077,1295,,,2017_A_lsf: 4.2.Is there any anti-erosion activity on this plo; 2017_A_ssf: 4.2.Is there any anti-erosion activity on this plo,
s4q3,4.3 Types of anti-erosion activities existing in the plot (code),int8,"0=       NA, 1=       Ditches, 2=       Trees/Windbreak/shelterbelt, 3=       Bench terraces, 4=       Progressive terraces …",10,11518,10248,3081,10129,9464,1097,,,2017_A_lsf: 4.3.Types of anti-erosion activities existing in t; 2017_A_ssf: 4.3.Types of anti-erosion activities existing in t; 2017_B_lsf: Types of anti erosion activities existing in the p; 2017_B_ssf: Types of anti erosion activities existing in the p; 2017_C_ssf: 4.3.1  Types of anti-erosion activities existing i; 2018_A_lsf: 4.3.1  Types of anti-erosion activities existing i; 2018_A_ssf: 4.3.1  Types of anti-erosion activities existing i; 2018_B_lsf: 4.3.1  Types of anti-erosion activities existing i; 2018_B_ssf: 4.3.1  Types of anti-erosion activities existing i,"{""2"": [""Trees / Wind break/Shelterbelt"", ""Trees/Wind break/Shelterbelt"", ""Trees/Windbreak/shelterbelt""], ""9"": [""Other(specify)"", ""Others"", ""Others(Specify)""], ""5"": [""Cover plants/ grasses"", ""Cover plants/grasses""], ""8"": [""Beds/ridges"", ""Beds/rigdes""]}"
s4q4,4.4 Was this anti-erosion activity done during the current agricultural season,int8,"1=Yes, 2=No",2,11484,10258,1687,10129,9464,1097,,,2017_A_lsf: 4.4.Was this anti-erosion activity done during the; 2017_A_ssf: 4.4.Was this anti-erosion activity done during the; 2017_B_lsf: Was this anti-erosion activity done in this season; 2017_B_ssf: Was this anti-erosion activity done in this season; 2017_C_ssf: 4.4.1 Was this anti-erosion activity done during t; 2018_A_lsf: 4.4.1 Was this anti-erosion activity done during t; 2018_A_ssf: 4.4.1 Was this anti-erosion activity done during t; 2018_B_lsf: 4.4.1 Was this anti-erosion activity done during t; 2018_B_ssf: 4.4.1 Was this anti-erosion activity done during t,
s4q5,4.5 What is the total cost of anti-erosion activity done during this season (R,int32,,0,1547,1174,797,1203,954,375,,,2017_A_lsf: 4.5.What is the total cost of anti erosion ectivit; 2017_A_ssf: 4.5.What is the total cost of anti erosion ectivit; 2017_B_lsf: What is the total cost of this anti-erosion actity; 2017_B_ssf: What is the total cost of this anti-erosion actity; 2017_C_ssf: 4.5.1 What is the total cost of anti-erosion activ; 2018_A_lsf: 4.5.1 What is the total cost of anti-erosion activ; 2018_A_ssf: 4.5.1 What is the total cost of anti-erosion activ; 2018_B_lsf: 4.5.1 What is the total cost of anti-erosion activ; 2018_B_ssf: 4.5.1 What is the total cost of anti-erosion activ,
s1q4,1.4 Segment number,int8,,0,15191,13827,5094,0,0,0,,,,
s2q2_v2,2.2 Ptot area in sqm,double,,0,0,0,0,0,11724,1295,,"s2q2 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_lsf, 2018_A_ssf, 2018_B_lsf)",,
