variable,label,type,value_labels,n_value_labels,n_2014_A,n_2014_B,n_2014_C,n_2015_A,n_2015_B,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,5216,4856,609,5502,5337,5568,963,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,5216,4856,609,5502,5337,5568,963,,,,
season,"Season (A, B, C)",string,,0,5216,4856,609,5502,5337,5568,963,,,,
wave,Wave id: <year>_<season>,string,,0,28051,28051,28051,28051,28051,28051,28051,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,5216,4856,609,5502,5337,5568,963,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,5216,4856,609,5502,5337,5568,963,,,,
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,5216,0,0,0,0,0,0,,,,
i08a,0.8 Nature of Operator,int8,"1=Individual farmer, 2=Cooperative/ Institution/Company, 3=Individual Big Farmer, 4=Cooperative/ Institution/Company taken as Big Farmer, 5=Settlement",5,5216,4856,609,5502,5337,5568,963,,,2014_A: 0.8 nature of operator; 2014_B: 0.8 nature of operator; 2014_C: 0.8 nature of operator; 2015_A: 0.8 nature of operator; 2015_B: 0.8 nature of operator,
i09,0.9 Sex,int8,"1=Male, 2=Female",2,5183,4830,606,5477,5313,5532,953,,,2014_A: 0.9 sex; 2014_B: 0.9 sex; 2014_C: 0.9 sex; 2015_A: 0.9 sex; 2015_B: 0.9 sex,
i10,0.10 Age of the operator,int16,,0,5183,4830,606,5477,5313,5532,953,,,2014_A: 0.10 age of the operator; 2014_B: 0.10 age of the operator; 2014_C: 0.10 age of the operator; 2015_A: 0.10 age of the operator; 2015_B: 0.10 age of the operator,
i11,0.11 Education level of the operator,int8,"1=Primary, 2=Secondary, 3=Tertiary, 4=No education",4,5183,4830,606,5477,5313,5532,953,,,2014_A: 0.11 education level of the operator; 2014_B: 0.11 education level of the operator; 2014_C: 0.11 education level of the operator; 2015_A: 0.11 education level of the operator; 2015_B: 0.11 education level of the operator,
i12,0.12 resident,int8,"1=yes, 2=no",2,5216,0,0,0,0,0,0,,,,
i16,0.16 Agricultural activity,int8,"1=Agriculture, 2=Agriculture & Livestock, 3=agriculture & livestock",3,5216,4856,609,5502,5337,5568,963,,,2014_A: 0.17 agricultural activity; 2014_B: 0.16 agricultural activity; 2014_C: 0.16 agricultural activity; 2015_A: 0.16 agricultural activity; 2015_B: 0.16 agricultural activity,"{""1"": [""agriculture"", ""cropping""], ""3"": [""agriculture & livestock"", ""cropping & livestock""], ""2"": [""agriculture & livestock"", ""livestock""]}"
i17,0.17 Are you a member of any Agriculture Cooperative,int8,"1=Yes, 2=No",2,5216,4856,609,5502,5337,5568,963,,,2014_A: 0.18 are you a member of any agriculture cooperati; 2014_B: 0.17 are you a member of any agriculture cooperati; 2014_C: 0.17 are you a member of any agriculture cooperati; 2015_A: 0.17 are you a member of any agriculture cooperati; 2015_B: 0.17 are you a member of any agriculture cooperati,
agegroup,Age group,int8,"1=14-24, 2=25-34, 3=35-44, 4=45-54, 5=55 and above",5,5183,0,0,0,0,5532,953,,,,
