variable,label,type,value_labels,n_value_labels,n_2014_A,n_2014_B,n_2015_A,n_2015_B,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,15555,10902,12711,12412,15341,2075,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,15555,10902,12711,12412,15341,2075,,,,
season,"Season (A, B, C)",string,,0,15555,10902,12711,12412,15341,2075,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,15555,10902,12711,12412,15341,2075,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,15555,10902,12711,12412,15341,2075,,,,
plot,Plot number within segment/holder,int16,,0,15555,10902,12711,12412,15341,2075,,,,
ui01,1.3 state one main crop type,int8,"1=maize, 2=paddy rice, 3=sorghum, 4=wheat, 5=other cereals …",73,15555,0,0,0,0,0,,,,
ui02a,"2.1 Equipment/oxen hired for land preparation? yes=1 , No=2",int8,"1=Yes, 2=No, 3=not applicable",3,15555,0,0,0,15341,2075,,,2014_A: 2.1a specify if equipment/oxen were rented or hire,
ui02e,2.2.1 Specify  equipment/oxen were rented or hired for land preparation? - CODE,int8,"1=oxen, 2=tractor, 3=tractor with driver, 4=other mechanical equipment",4,1,0,0,0,0,0,,,2014_A: 2.2 specify if equipment/oxen were rented or hired,
irrigation,2.3 have you used any irrigation type?,int8,"1=yes, 2=no",2,15555,10902,0,12412,0,0,,,2014_A: 2.3 used any irrigation type?,
ui03d,2.4.1 Specify type of irrigation and any amount paid for irrigation - code,int8,"1=Pumps/tube wells/irrigation machines, 2=Watering can, 3=Water channels, 4=Others",4,839,694,491,504,309,546,,,2014_A: 2.4 specify type of irrigation and any amount paid; 2014_B: 2.4.1 specify type of irrigation and any amount pa; 2015_A: 2.4.1 specify type of irrigation and any amount pa; 2015_B: 2.4.1 specify type of irrigation and any amount pa,
ui24,"2.5 did you practice any anti-erosion activity on this plot ? 1=yes, 2=no, if 2",int8,"1=yes, 2=no",2,15555,0,0,0,0,0,,,,
ui25,2.6 specify anti erosion activities did you practice on this plot ? code,int8,"1=distches, 2=trees, 3=bench terraces, 4=progressive terracing, 5=cover plants/grasses …",9,11017,0,0,0,0,0,,,,
antierosion,2.7 are some antierosion activities mad eon this plot during this season?,int8,"1=yes, 2=no",2,15555,0,0,0,0,0,,,,
ui26,2.8 specify any expenditure on anti erosion activities ?code,int8,"1=distches, 2=trees, 3=bench terraces, 4=progressive terracing, 5=cover plants/grasses …",9,1799,0,0,0,0,0,,,,
used_any_irrigation_type,2.3 Have you used any irrigation type?,int8,"1=Yes, 2=No",2,0,0,12711,0,13141,1582,,,2015_A: 2.3 have you used any irrigation type?,
