variable,label,type,value_labels,n_value_labels,n_2014_A,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,13079,16029,1887,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,13079,16029,1887,,,,
season,"Season (A, B, C)",string,,0,13079,16029,1887,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,13079,16029,1887,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,13079,16029,1887,,,,
pp7a,1.1 Plot No.,int16,,0,13079,16029,1887,,,2014_A: 1.1 plot no.,
pp7,2.8 Have you already used organic fertilizers during this agriculture season?,int8,"1=Yes, 2=No",2,13079,16029,1887,,,2014_A: 2.10 have you already used organic fertilizers dur,
inorganic,2.12 have u already used this inorganic fertilizers,int8,"1=yes, 2=no",2,13079,0,0,,,,
pp10,2.10.2 Inorgnic Fertilizers used-Type,int8,"1=NPK, 2=UREA, 3=UREA(LIQUID), 4=DAP, 5=OTHER Fertilizers",5,3721,2111,947,,,2014_A: 2.12 inorgnic fertilizers used-type,
pesticides,2.13 have you used this?,int8,"1=yes, 2=no",2,13069,0,0,,,,
pp1a,2.11.2 Pesticides used in Season B 2014-Type,int8,"6=DITHANE, 7=RIDOMIL, 8=DIMETHOATE, 9=CYPERMETRINE, 10=DURSIBAN …",8,2390,1470,1056,,,2014_A: 2.13 pesticides used in season b 2013-type,
have_u_already_used_this_in,2.10.1 have u already used this Inorganic Fertilizers,int8,"1=Yes, 2=No",2,0,16029,1887,,,,
have_you_used_this,2.11.1 Have you used this pesticide?,int8,"1=Yes, 2=No",2,0,16029,1887,,,,
