variable,label,type,value_labels,n_value_labels,n_2014_C,n_2015_A,n_2015_B,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,1379,14048,13456,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,1379,14048,13456,,,,
season,"Season (A, B, C)",string,,0,1379,14048,13456,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,1379,14048,13456,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,1379,14048,13456,,,,
pp7a,1.1 plot no.,int8,,0,1379,14048,13456,,,,
pesticide,2.11.1 have you used this pesticide?,int8,"1=yes, 2=no",2,1379,14042,13456,,,,
pp1a,2.11.2 pesticides used in season b 2014-type,int8,"6=dithane, 7=ridomil, 8=dimethoate, 9=cypermetrine, 10=dursiban …",8,873,2020,2009,,,,
