variable,label,type,value_labels,n_value_labels,n_2014_A,n_2015_A,n_2015_B,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,12609,14366,14371,14908,1257,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,12609,14366,14371,14908,1257,,,,
season,"Season (A, B, C)",string,,0,12609,14366,14371,14908,1257,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,12609,14366,14371,14908,1257,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,12609,14366,14371,14908,1257,,,,
crop,Crop code (native list of the wave; see codebook),int16,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Other cereals …",82,12608,14366,14371,14908,1257,,,,"{""9"": [""other legumes"", ""other legumes & pulses""], ""16"": [""cauliflowers"", ""flower cabage""], ""17"": [""onion"", ""onions""], ""18"": [""carrot"", ""carrots""], ""48"": [""broccolli"", ""brocolli""], ""49"": [""napia grass"", ""napier glass""], ""51"": [""fodder crop"", ""fodder crops""], ""53"": [""olive crop"", ""olive tree""], ""61"": [""mulberry"", ""white mulberry""], ""69"": [""pumpkin"", ""pumpkins""]}"
sold,4.1 qty sold,double,,0,12609,14366,14371,0,0,,,2014_A: 3.1 qty sold; 2015_A: quantity sold,
c0a,4.2 Used by the household,double,,0,12609,14366,14371,14664,1257,,,2014_A: 3.2 used by the household; 2015_A: quantity used by  household; 2015_B: 4.2 used by the household,
c0b,4.3 Qty used as wage for hired labour,double,,0,12609,14366,14371,14908,1256,,,2014_A: 3.3 qty used as wage for hired labour; 2015_A: quantity used as wage for hired labour; 2015_B: 4.3 qty used as wage for hired labour,
c6c,4.4 Qty used as farm rent,double,,0,12609,14366,14371,14904,1257,,,2014_A: 3.4 qty used as farm rent; 2015_A: quantity used as farm rent; 2015_B: 4.4 qty used as farm rent,
c6d,4.5 Quantity has offered as a gift,double,,0,12609,14366,14371,14898,1257,,,2014_A: 3.5 quantity has offered as a gift; 2015_A: quantity offered as a gift; 2015_B: 4.5 quantity has offered as a gift,
ca,4.6 Qty exchanged with other things,double,,0,12609,14366,14371,14897,1257,,,2014_A: 3.6 qty exchanged with other things; 2015_A: quantity exchanged with other things; 2015_B: 4.6 qty exchanged with other things,
c7c,4.7 Qty been used as seeds,double,,0,12609,14366,14371,9705,735,,,2014_A: 3.7 qty been used as seeds; 2015_A: quantity used as seeds; 2015_B: 4.7 qty been used as seeds,
cb,4.8 Qty used as fodder,double,,0,12609,14366,14371,6432,543,,,2014_A: 3.8 qty used as fodder; 2015_A: quantity used as fodder; 2015_B: 4.8 qty used as fodder,
c8c,Qty Stored,double,,0,12609,14366,14371,14888,1256,,,2014_A: 3.9 qty stored; 2015_A: quantity stored; 2015_B: 4.9 qty stored,
damaged,Qty damaged,double,,0,12609,14366,14371,14897,1257,,,2014_A: 3.10 qty damaged; 2015_A: quantity damaged; 2015_B: 4.10 qty damaged,
other_way,4.11 qty used in any other way,double,,0,12609,14366,14371,0,0,,,2014_A: 3.11 qty used in any other way; 2015_A: quantity used in any other way,
crop_proportion__the__field,4.1 Qty Sold,double,,0,0,0,0,14908,1257,,,,
used_in_any_other_way,4.11 Qty used in any other way,double,,0,0,0,0,14830,1254,,,,
