variable,label,type,value_labels,n_value_labels,n_2015_A,n_2015_B,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,170087,165135,178274,30817,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,170087,165135,178274,30817,,,,
season,"Season (A, B, C)",string,,0,170087,165135,178274,30817,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,170087,165135,178274,30817,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,170087,165135,178274,30817,,,,
uic1,Code of small tools and farm equipments,int8,"1=Hoe, 2=Spring Hoe, 3=Fork hoe, 4=Rake, 5=Pick/ Ipiki …",32,170087,165135,178274,30817,,,2015_A: code of small tools and farm equipments; 2015_B: code of small tools and farm equipments,"{""31"": [""Thresher machine"", ""others (specify)""]}"
uic3,6.1 Did you buy this tool/equipment during this season?,int8,"1=Yes, 2=No",2,170087,165135,178272,30817,,,2015_A: 6.1 did you buy this tool/equipment during this se; 2015_B: 6.1 did you buy this tool/equipment during this se,
uic4,6.2 How many did you buy during this season? Number,int16,,0,13894,10636,10538,1669,,,2015_A: 6.2 how many did you buy during this season? numbe; 2015_B: 6.2 how many did you buy during this season? numbe,
uic6,6.4 Total amount spent on this tool/equipment Amount(RWF),int32,,0,13894,10636,10538,1669,,,2015_A: 6.4 total amount spent on this tool/equipment amou; 2015_B: 6.4 total amount spent on this tool/equipment amou,
uic7,6.5.1 Number received from a non agricultural donor? Number,int16,,0,170087,165135,177507,30626,,,2015_A: 6.5.1 number received from a non agricultural dono; 2015_B: 6.5.1 number received from a non agricultural dono,
uica,6.5.2 Number received from a non agricultural donor? Cost,int16,,0,170087,165135,177506,30626,,,2015_A: 6.5.2 number received from a non agricultural dono; 2015_B: 6.5.2 number received from a non agricultural dono,
uic5,6.3 How much did you pay for this tool/equipment?(unit price),int32,,0,0,0,10537,1669,,,,
