variable,label,type,value_labels,n_value_labels,n_2014_C,n_2015_A,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,657,16435,16350,1184,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,657,16435,16350,1184,,,,
season,"Season (A, B, C)",string,,0,657,16435,16350,1184,,,,
wave,Wave id: <year>_<season>,string,,0,34626,34626,34626,34626,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,657,16435,16350,1184,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,657,16435,16350,1184,,,,
crop,Crop code (native list of the wave; see codebook),int16,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 6=Bush Beans …",17,657,16435,16350,1184,,,,
crop_planted,7.1 Crop planted?,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,2014_C: 7.1 crop planted?; 2015_A: 7.1 crop planted?,
traditional_seed,7.2 Traditional Seed,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,2014_C: 7.2 traditional seed; 2015_A: 7.2 traditional seed,
improved_seed,7.3 Improved seed,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,2014_C: 7.3 improved seed; 2015_A: 7.3 improved seed,
equipment_oxen_used_for_land,7.4.1 equipment/oxen used for land preparation-code,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,,
equipment_codf,7.4.2 equipment code,string,,0,657,16435,16350,1184,,,,
equipment_code,7.4.3 equipment code,string,,0,657,16435,16350,1184,,,,
any_irrigation_type,7.5.1 Any irrigation type,int8,"1=Yes, 2=No",2,657,16435,16349,1184,,,2014_C: 7.5.1 any irrigation type; 2015_A: 7.5.1 any irrigation type,
the_irrigation_type_codg,7.5.2 The irrigation type code,int8,"1=Pumps/tube wells/irrigation machines, 2=Watering can, 3=Water channels, 4=Others",4,133,415,244,344,,,2014_C: 7.5.2 the irrigation type code; 2015_A: 7.5.2 the irrigation type code,
the_irrigation_type_codf,7.5.3 The irrigation type code,int8,"1=Pumps/tube wells/irrigation machines, 2=Watering can, 3=Water channels, 4=Others",4,34,8,17,31,,,2014_C: 7.5.3 the irrigation type code; 2015_A: 7.5.3 the irrigation type code,
the_irrigation_type_code,7.5.4 The irrigation type code,int8,"1=Pumps/tube wells/irrigation machines, 2=Watering can, 3=Water channels, 4=Others",4,4,3,2,3,,,2014_C: 7.5.4 the irrigation type code; 2015_A: 7.5.4 the irrigation type code,
any_anti_erosion_activities,7.6.1 Any anti-erosion activities,int8,"1=Yes, 2=No",2,657,16435,16349,1184,,,2014_C: 7.6.1 any anti-erosion activities; 2015_A: 7.6.1 any anti-erosion activities,
any_anti_erosion_codg,7.6.2 Anti-erosion code,int8,"1=Distches, 2=Trees, 3=Bench terraces, 4=Progressive terracing, 5=Cover plants/grasses …",9,553,11176,11547,1038,,,2014_C: 7.6.2 anti-erosion code; 2015_A: 7.6.2 anti-erosion code,
any_anti_erosion_codf,7.6.3 Anti-erosion code,int8,"1=Distches, 2=Trees, 3=Bench terraces, 4=Progressive terracing, 5=Cover plants/grasses …",9,110,3145,3390,262,,,2014_C: 7.6.3 anti-erosion code; 2015_A: 7.6.3 anti-erosion code,
any_anti_erosion_code,7.6.4 Anti-erosion code,int8,"1=Distches, 2=Trees, 3=Bench terraces, 4=Progressive terracing, 5=Cover plants/grasses …",9,7,215,257,46,,,2014_C: 7.6.4 anti-erosion code; 2015_A: 7.6.4 anti-erosion code,
organic_fertilizer_used,7.7 Organic fertilizer used,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,2014_C: 7.7 organic fertilizer used; 2015_A: 7.7 organic fertilizer used,
inorganic_fertilizer,7.8.1 Inorganic fertilizer,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,2014_C: 7.8.1 inorganic fertilizer; 2015_A: 7.8.1 inorganic fertilizer,
inorganic_fertilizer_codg,7.8.2 Inorganic fertilizer code,int8,"1=NPK, 2=UREA, 3=UREA(LIQUID), 4=DAP, 5=OTHER Fertilizers",5,375,16435,1141,444,,,2014_C: 7.8.2 inorganic fertilizer code; 2015_A: 7.8.2 inorganic fertilizer code,
inorganic_fertilizer_codf,7.8.3 Inorganic fertilizer code,int8,"1=NPK, 2=UREA, 3=UREA(LIQUID), 4=DAP, 5=OTHER Fertilizers",5,81,900,269,94,,,2014_C: 7.8.3 inorganic fertilizer code; 2015_A: 7.8.3 inorganic fertilizer code,
inorganic_fertilizer_code,7.8.4 inorganic fertilizer code,int8,"1=NPK, 2=UREA, 3=UREA(LIQUID), 4=DAP, 5=OTHER Fertilizers",5,9,18,18,13,,,,
pesticide_used,7.9.1 Pesticide used,int8,"1=Yes, 2=No",2,657,16435,16350,1184,,,2014_C: 7.9.1 pesticide used; 2015_A: 7.9.1 pesticide used,
pesticide_useg,7.9.2 pesticide used  code,int8,"6=DITHANE, 7=RIDOMIL, 8=DIMETHOATE, 9=CYPERMETRINE, 10=DURSIBAN …",8,427,904,643,518,,,,
pesticide_usee,7.9.3 pesticide used  code,int8,"6=DITHANE, 7=RIDOMIL, 8=DIMETHOATE, 9=CYPERMETRINE, 10=DURSIBAN …",8,223,329,320,212,,,,
pesticide_usef,7.9.4 pesticide used  code,int8,"6=DITHANE, 7=RIDOMIL, 8=DIMETHOATE, 9=CYPERMETRINE, 10=DURSIBAN …",8,66,137,141,48,,,,
