variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,16278,14186,6792,34482,11955,1293,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,16278,14186,6792,34482,11955,1293,,,,
season,"Season (A, B, C)",string,,0,16278,14186,6792,34482,11955,1293,,,,
wave,Wave id: <year>_<season>,string,,0,84986,84986,84986,84986,84986,84986,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,16278,14186,6792,34482,11955,1293,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,16278,14186,6792,3417,11955,1293,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,16278,14186,6792,34482,11955,1293,,,,
stratum,Sampling stratum (as shipped),int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Household/ Village stratum, 50=Large scale farmer",5,14855,12938,6792,0,0,0,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,16278,14186,6792,34482,11955,1293,,,,
plot,Plot number within segment/holder,int8,,0,16278,14186,6792,34482,11955,1293,,,,
crop,Crop code (native list of the wave; see codebook),int8,"0=no, 1=Yes, 2=No, 9=Missing",4,16278,14186,6792,34479,11955,1293,,,,
s2q2,2.2 Plot area in sqm,double,,0,16278,14186,6792,34482,1434,0,,"s2q2_v2 (2018_B_ssf, 2018_C_ssf)",2017_A_lsf: 2.2.Plot area(m2); 2017_A_ssf: 2.2.Plot area(sqm); 2017_B_lsf: 2.2 Plot size in (m2); 2017_B_ssf: 2.2.Plot area(sqm); 2017_C_ssf: 2.2 Plot size in (m2); 2018_A_lsf: 2.2 Area m2; 2018_A_ssf: 2.2 Area m2,
