variable,label,type,value_labels,n_value_labels,n_2019_A,n_2019_B,n_2019_C,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
season,"Season (A, B, C)",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
wave,Wave id: <year>_<season>,string,,0,225110,225110,225110,225110,225110,225110,225110,225110,225110,225110,225110,225110,225110,225110,225110,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,20911,18821,5618,22257,20344,4838,24246,21432,0,16895,16864,0,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,18786,17637,1832,21023,18936,5618,22314,20431,0,24279,21432,11242,16895,16864,2983,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
stratum,Sampling stratum (as shipped),int8,"0=Site, 10=Intensive cropland on hillside, 11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands …",7,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,"{""0"": [""LSF"", ""LSF/Season C site"", ""Large scale farm"", ""Large scale farmer"", ""Season C site"", ""Site""], ""40"": [""40 Mixed"", ""Household/ Village stratum"", ""Mixed""], ""10"": [""10 Intensive cropland on hillsides"", ""Intensive cropland on hillside"", ""Intensive cropland on hillsides""], ""20"": [""20 Intensive cropland in marshlands"", ""Intensive cropland in marshlands""], ""30"": [""30 Rangelands"", ""Rangelands""]}"
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
holder,Holder / questionnaire id (as shipped),double,,0,0,0,0,21023,18936,5618,22314,20431,4838,24246,21432,11242,16895,16864,2983,,,,
plot,Plot number within segment/holder,int8,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
crop,Crop code (native list of the wave; see codebook),int8,"1=Yes, 2=No",2,18786,17637,1832,21023,18936,5618,22313,20431,4838,24113,21432,11242,16895,16864,2983,,,,
