variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,14131,13175,1698,11494,10868,1255,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,14131,13175,1698,11494,10868,1255,,,,
season,"Season (A, B, C)",string,,0,14131,13175,1698,11494,10868,1255,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,14131,13175,1698,11494,10868,1255,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,14131,13175,1698,0,1137,0,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,14131,13175,1698,11494,10868,1255,,,,
stratum,Sampling stratum (as shipped),int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Household/ Village stratum, 50=Large scale farmer",5,13325,12156,1698,0,0,0,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,14131,13175,1698,11494,10868,1255,,,,
plot,Plot number within segment/holder,int8,,0,14131,13175,1698,11494,10868,1255,,,,
s2q2,2.2 Plot area in sqm,double,,0,14131,13175,1698,11494,1137,0,,s2q2_v2 (2018_B_ssf),2017_A_lsf: 2.2.Plot area(m2); 2017_A_ssf: 2.2.Plot area(sqm); 2017_B_lsf: 2.2 Plot size in (m2); 2017_B_ssf: 2.2 Plot size in (m2); 2017_C_ssf: 2.2  Plot size in (m2); 2018_A_lsf: 2.2 Plot size in square meters (m2); 2018_A_ssf: 2.2 Area m2,
s4q17,4.17 Have you irrigated your plot during this season?,int8,"1=Yes, 2=No",2,14131,13175,1698,11494,10867,1255,,,2017_A_lsf: 4.17.Has this plot been irrigated during this seas; 2017_A_ssf: 4.17.Has this plot been irrigated during this seas; 2017_B_lsf: 4.17 Has this plot been irrigated during this seas; 2017_B_ssf: 4.17 Has this plot been irrigated during this seas; 2017_C_ssf: 4.17 Has this plot been irrigated during this seas,
s4q18,4.18 What is the source of water for irrigation?,int8,"1=       Rainwater harvesting, 2=       Water treatment plant, 3=       Underground water, 4=       Lake / stream water, 5=       Water catchment (dam) …",8,766,774,400,729,670,325,,,2017_A_lsf: 4.18.What is the source of water for irrigation?; 2017_A_ssf: 4.18.What is the source of water for irrigation?,"{""1"": [""Rainfall"", ""Rainwater harvesting""], ""2"": [""Rain- harvesting water"", ""Water treatment plant""], ""3"": [""Underground water"", ""WASAC water""], ""4"": [""Lake / stream water"", ""Lake/stream water"", ""Underground water""], ""5"": [""Lake water"", ""Water catchment (dam)"", ""Water catchment(dam)""], ""6"": [""Other (to specify)"", ""Other(specify)"", ""Stream water""]}"
s4q19,4.19.1 What is main irrigation technique used on this plot?,int8,"1=       Surface irrigation, 2=       Flood  irrigation (especially for rice), 3=       Drip irrigation, 4=       Sprinkler irrigation, 5=       Traditional  techniques",5,761,774,400,729,670,325,,,2017_A_lsf: 4.19.What is irrigation techniques used on this pl; 2017_A_ssf: 4.19.What is irrigation techniques used on this pl; 2017_B_lsf: 4.19 What is irrigation technique used on this plo; 2017_B_ssf: 4.19 What is irrigation technique used on this plo; 2017_C_ssf: 4.19.1 What are irrigation techniques used on this,"{""1"": [""Surface"", ""Surface irrigation""], ""2"": [""Drip"", ""Flood  irrigation (especially for rice)"", ""Flood irrigation(Especially for rice)""], ""3"": [""Drip irrigation"", ""Sprinklers""], ""4"": [""Sprinkler irrigation"", ""Traditional""], ""5"": [""Traditional  techniques"", ""Traditional techniques""]}"
s4q20,4.20.1 Total cost of irrigation,int32,,0,752,774,400,729,670,325,,,2017_A_lsf: 4.20.What is the cost of hired labor used for irri; 2017_A_ssf: 4.20.What is the cost of hired labor used for irri; 2017_B_lsf: 4.20 What is the cost of hired labor used for irri; 2017_B_ssf: 4.20 What is the cost of hired labor used for irri,
s4q21,4.21 What was the main crop to irrigate?,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",92,758,774,400,729,670,325,,,2017_A_lsf: 4.21.What was the main crop being irrigated; 2017_A_ssf: 4.21.What was the main crop being irrigated,
s4q6,4.6 Is this plot fenced?,int8,"1=yes, 2=no",2,14131,13172,1698,11494,10867,1255,,,2017_A_lsf: 4.6.Is this plot fenced?; 2017_A_ssf: 4.6.Is this plot fenced?,
s4q7,4.7 Was this fence done during the current agricultural season?,int8,"1=Yego, 2=Oya",2,398,483,20,356,278,15,,,2017_A_lsf: 4.7.Was this plot fence done during the current ag; 2017_A_ssf: 4.7.Was this fence done during the current agricul,"{""1"": [""Yego"", ""yes""], ""2"": [""No"", ""Oya""]}"
s4q8,4.8 Activity cost (RWF),int32,,0,57,37,6,30,27,2,,,2017_A_lsf: 4.8.Activity cost; 2017_A_ssf: 4.8 Cost of fencing (Rwf); 2017_B_lsf: 4.8 Fencing Activity cost (RWF); 2017_B_ssf: 4.8 Fencing Activity cost (RWF),
s4q9,"4.9 Amount spent on manpower to prepare land, sowing and any other agricultural",int32,,0,14128,13172,1698,11494,10867,1255,,,"2017_A_lsf: 4.9.Amount spent on hired labor used to prepare la; 2017_A_ssf: 4.9.Amount spent on hired labor to prepare land,so",
s4q10,4.10 Have you used ploughing animals (oxen) during this season?,int8,"1=yes, 2=no",2,14131,13173,1698,11494,10867,1255,,,2017_A_lsf: 4.10.Have you used ploughing animals(oxen)during t; 2017_A_ssf: 4.10.Have you used ploughing animals(oxen)during t,
s4q11,4.11 Amount paid on rent of ploughing animals during this season(Rwf),int32,,0,4,1,0,0,1,0,,,2017_A_lsf: 4.11.Amount paid on rent of ploughing animals duri; 2017_A_ssf: 4.11.Amount paid on rent of ploughing animals duri,
s4q12,4.12 Have you used a ploughing tractor during this season?,int8,"1=yes, 2=no",2,14131,13162,1698,11494,10867,1255,,,2017_A_lsf: 4.12.Have you used a ploughing tractor during this; 2017_A_ssf: 4.12.Have you used a ploughing tractor during this,
s4q13,4.13 Amount paid on rent of ploughing tractor (Rwf),int32,,0,67,100,0,115,94,0,,,2017_A_lsf: 4.13.Amount paid on rent of ploudhing tractor (Rwf; 2017_A_ssf: 4.13.Amount paid on rent of ploudhing tractor (Rwf,
s4q14,4.14 Have you used any other mechanical equipment during this season?,int8,"1=yes, 2=no",2,14131,13173,1698,11494,10867,1255,,,2017_A_lsf: 4.14.Have you used any other other mechanical equi; 2017_A_ssf: 4.14.HAve you used any other other mechanical equi,
s4q15,4.15 Name of other mechanical equipment used during this season,string,,0,14131,13175,1698,11494,10868,1255,,,2017_A_lsf: 4.15.Name of other mechanical equipment used durin; 2017_A_ssf: 4.15.Name of other mechanical equipment used durin,
s4q16,4.16 Rent cost for the other mechanical equipment (Rwf),int16,,0,0,6,0,30,51,0,,,2017_A_lsf: 4.16.Rent cost for the other mechanical equipment(; 2017_A_ssf: 4.16.Rent cost for the other mechanical equipment(,
s5q1,5.1 Is this plot owned or rented?,int8,"1=Owned, 2=Free rending, 3=Rented",3,14128,13171,1698,11492,10867,1255,,,2017_A_lsf: 5.1.Is this plot owned or rented?; 2017_A_ssf: 5.1.Is this plot owned or rented?; 2017_B_lsf: 5.1  Is this plot owned or rented?; 2017_B_ssf: 5.1  Is this plot owned or rented?,"{""2"": [""Free lending"", ""Free rending"", ""Rented"", ""free lending""], ""3"": [""Rented"", ""free lending""]}"
s5q2,5.2 Ownership category,int8,"1=Hertage, 2=Gift, 3=Exchange, 4=Bought",4,11482,10050,785,8406,8049,615,,,2017_A_lsf: 5.2.Ownership category; 2017_A_ssf: 5.2.Ownership category; 2017_B_lsf: 5.2  Ownership category; 2017_B_ssf: 5.2  Ownership category,"{""3"": [""Bought"", ""Exchange"", ""Exchanged""], ""4"": [""Bought"", ""Exchanged""], ""1"": [""Heritage"", ""Hertage""]}"
s5q3,5.3 When has this plot been bought?,int8,"1=This season, 2=Previous seasons, 3=Many years ago",3,4400,4093,315,3589,3499,219,,,2017_A_lsf: 5.3.When has this plot been brought?; 2017_A_ssf: 5.3.When has this plot been brought?; 2017_B_lsf: 5.3  When has this plot been bought?; 2017_B_ssf: 5.3  When has this plot been bought?,"{""2"": [""Last year"", ""Previous seasons""]}"
s5q4,"5.4 If the plot was purchased during this season or last year, what was the cost",int32,,0,140,114,23,69,45,4,,,2017_A_lsf: 5.4.If the plot was purchased during this season o; 2017_A_ssf: 5.4.If the plot was purchased during this season o; 2017_B_lsf: 5.4  If the plot was purchased during this season ; 2017_B_ssf: 5.4  If the plot was purchased during this season ,
s5q5,"5.5 If the plot was rented, what kind of payment have you agreed on during this",int8,"1=Payment by cash, 2=Payment by production share, 3=Cultivate for plot owner",3,1843,1952,507,1921,1774,417,,,"2017_A_lsf: 5.5.If the plot was rented, what kind of payment h; 2017_A_ssf: 5.5.If the plot was rented, what kind of payment h; 2017_B_lsf: 5.5  If the plot was rented, what kind of payment ; 2017_B_ssf: 5.5  If the plot was rented, what kind of payment ",
s5q6,"5.6 If the rented plot was paid by cash, what is the amount for this season?",int32,,0,1535,1604,500,1687,1533,403,,,"2017_A_lsf: 5.6.If the rented plot was paid by cash, what is t; 2017_A_ssf: 5.6.If the rented plot was paid by cash, what is t; 2017_B_lsf: 5.6  If the rented plot was paid by cash, what is ; 2017_B_ssf: 5.6  If the rented plot was paid by cash, what is ",
s5q7_1,5.7.1 What are crops in this plot that have been chosen for production share for,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",91,264,320,7,233,241,14,,,2017_A_lsf: 5.7.1.What are crops in this plot that have been c; 2017_A_ssf: 5.7.1.What are crops in this plot that have been c; 2017_B_lsf: 5.7.1 What crop in this plot that have been chosen; 2017_B_ssf: 5.7.1 What crop in this plot that have been chosen,"{""519"": [""Other fodder crop (specify)"", ""Other fodder crop (specify).""]}"
s5q8_1,"5.8.1 If the rented plot was paid by production share, what is the percentage sh",int8,,0,260,323,7,233,241,14,,,2017_A_lsf: 5.8.1.If the rented plot was paid by production sh; 2017_A_ssf: 5.8.1.If the rented plot was paid by production sh,
s5q7_2,5.7.2 What are crops in this plot that have been chosen for production share for,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",91,254,324,0,158,155,3,,,2017_A_lsf: 5.7.2.What are crops in this plot that have been c; 2017_A_ssf: 5.7.2.What are crops in this plot that have been c; 2017_B_lsf: 5.7.2 What crop in this plot that have been chosen; 2017_B_ssf: 5.7.2 What crop in this plot that have been chosen,"{""519"": [""Other fodder crop (specify)"", ""Other fodder crop (specify).""]}"
s5q8_2,"5.8.2 If the rented plot was paid by production share, what is the percentage sh",int8,,0,138,172,0,108,105,2,,,2017_A_lsf: 5.8.2.If the rented plot was paid by production sh; 2017_A_ssf: 5.8.2.If the rented plot was paid by production sh,
s5q7_3,5.7.3 What are crops in this plot that have been chosen for production share for,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",91,138,170,0,58,40,0,,,2017_A_lsf: 5.7.3.What are crops in this plot that have been c; 2017_A_ssf: 5.7.3.What are crops in this plot that have been c; 2017_B_lsf: 5.7.3 What crop in this plot that have been chosen; 2017_B_ssf: 5.7.3 What crop in this plot that have been chosen,"{""519"": [""Other fodder crop (specify)"", ""Other fodder crop (specify).""]}"
s5q8_3,"5.8.3 If the rented plot was paid by production share, what is the percentage sh",int8,,0,35,51,0,26,29,0,,,2017_A_lsf: 5.8.3.If the rented plot was paid by production sh; 2017_A_ssf: 5.8.3.If the rented plot was paid by production sh,
s5q7_4,5.7.4 What are crops in this plot that have been chosen for production share for,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",91,9,31,0,5,6,0,,,2017_A_lsf: 5.7.4.What are crops in this plot that have been c; 2017_A_ssf: 5.7.4.What are crops in this plot that have been c; 2017_B_lsf: 5.7.3 What crop in this plot that have been chosen; 2017_B_ssf: 5.7.3 What crop in this plot that have been chosen,"{""519"": [""Other fodder crop (specify)"", ""Other fodder crop (specify).""]}"
s5q8_4,"5.8.4 If the rented plot was paid by production share, what is the percentage sh",int8,,0,5,275,0,5,6,0,,,2017_A_lsf: 5.8.4.If the rented plot was paid by production sh; 2017_A_ssf: 5.8.4.If the rented plot was paid by production sh,
crop_group,Crop category for major crops grown in Rwanda,int16,"6=Fruits, 7=vegetables, 8=Other crops, 9=Other celeals, 10=Taro&Yarms …",36,758,774,400,0,0,0,,crop_group_v2 (2018_A_ssf),,"{""214"": [""Yam"", ""Yarms""]}"
s1q4,1.4 Segment number,int8,,0,13325,12156,1698,0,0,0,,,,
s4q10a,4_10A At which stage of agriculture practice did you use animal ploughing?,string,,0,14131,13175,1698,11494,10868,1255,,,,
s4q12a,Q4_12A At which stage of agriculture practice did you use  ploghing machine/trac,int8,"1=Ploughing, 2=Soil levelling, 3=Raking, 4=Manuring, 5=Sowing …",22,0,0,0,115,95,0,,,,"{""16"": [""Ploughing,Soil levelling and Raking"", ""Ploughing,Soil levelling,Raking,Manuring,Sowing,Weeding and Irrigation""], ""17"": [""Ploughing,Soil levelling,Raking and Manuring"", ""Ploughing,Soil levelling,Raking,Manuring,Sowing and Threshing""], ""18"": [""Ploughing,Soil levelling,Raking,Irrigation and Pesticides Spraying"", ""Ploughing,Soil levelling,Raking,Sowing and Irrigation""], ""19"": [""Ploughing,Soil levelling,Manuring and Sowing"", ""Ploughing,Soil levelling,Sowing,Harvesting and Threshing""], ""20"": [""Ploughing,Soil levelling and Pesticides Spraying"", ""Ploughing,Soil levelling,Sowing,Threshing""], ""21"": [""Ploughing, Soil levelling,Sowing and padelling"", ""Ploughing,Soil levelling and Raking""], ""22"": [""Ploughing,Soil levelling,Raking and Pesticides Spraying"", ""Soil levelling and Raking""]}"
s4q14a,4_14A. At which stage of agriculture practice did you use  other mechanical equi,int8,"1=Ploughing, 2=Soil levelling, 3=Raking, 4=Manuring, 5=Sowing …",15,0,0,0,31,51,0,,,,"{""14"": [""Ploughing and Soil levelling"", ""Threshing and in Other stage(Specify)""], ""1"": [""Irrigation"", ""Ploughing""], ""2"": [""Other stage(Specify)"", ""Soil levelling""]}"
s4q19a,4.19A What is the irrigation tool you have used.,int16,"1=Pivot, 2=Iriigation machine, 3=Generator pump, 4=Pumps/tube wells, 5=Water can …",23,0,0,0,729,671,325,,,,"{""34"": [""Generator Pump and tube wells"", ""Generator pump and Pumps/tube wells""]}"
crop_group_v2,4.21 What was the main crop to irrigate?,int16,"6=Fruits, 7=vegetables, 8=Other crops, 9=Other celeals, 10=Taro&Yarms …",23,0,0,0,518,0,0,,"crop_group (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf)",,
cropgroup,Crop groups to be irrigated,int16,"6=Fruits, 7=Vegetables, 8=Other crops, 9=Other cereals, 10=Taro&Yams …",27,0,0,0,0,201,0,,,,
s2q2_v2,2.2 Ptot area in sqm,double,,0,0,0,0,0,9731,0,,"s2q2 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_lsf, 2018_A_ssf, 2018_B_lsf)",,
q2_2,2.2 Ptot area in sqm,double,,0,0,0,0,0,0,1255,,,,
