variable,label,type,value_labels,n_value_labels,n_2014_B,n_2016_B,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,854,1182,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,854,1182,,,,
season,"Season (A, B, C)",string,,0,854,1182,,,,
wave,Wave id: <year>_<season>,string,,0,2036,2036,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,854,1182,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,1182,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,854,1182,,,,
plot,Plot number within segment/holder,int8,,0,853,1182,,,,
ui02a,"2.1 Equipment/oxen hired for land preparation? yes=1 , No=2",int8,"1=Yes, 2=No",2,732,1182,,,2014_B: 2.1 equipment/oxen hired for land preparation? yes,
ui02e,2.2.1 Specify if equipment/oxen were rented or hired for land preparation? - COD,int8,"1=Oxen, 2=Tractor, 3=Tractor with driver, 4=Other mechanical equipment",4,18,23,,,2014_B: 2.2.1 specify if equipment/oxen were rented or hir,
used_any_irrigation_type,2.3 Have you used any irrigation type?,int8,"1=Yes, 2=No",2,733,830,,,2014_B: 2.3 have you used any irrigation type?,
ui03d,2.4.1 Specify type of irrigation and any amount paid for irrigation - code,int8,"1=Pumps/tube wells/irrigation machines, 2=Watering can, 3=Water channels, 4=Others",4,87,165,,,2014_B: 2.4.1 specify type of irrigation and any amount pa,
are_some_antierosion_activit,2.5 are some antierosion activities made on this plot during this season?,int8,"1=yes, 2=no",2,854,0,,,,
ui26,2.6.1 specify any expenditure on anti erosion activities ?code,int8,"1=distches, 2=trees, 3=bench terraces, 4=progressive terracing, 5=cover plants/grasses …",9,81,0,,,,
