variable,label,type,value_labels,n_value_labels,n_2014_B,n_2016_B,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,1024,1057,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,1024,1057,,,,
season,"Season (A, B, C)",string,,0,1024,1057,,,,
wave,Wave id: <year>_<season>,string,,0,2081,2081,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,1024,1057,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,1057,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,1024,1057,,,,
pp7a,1.1 Plot No.,int8,,0,1023,1057,,,2014_B: 1.1 plot no.,
pp7,2.8 Have you already used organic fertilizers during this agriculture season?,int8,"1=Yes, 2=No",2,1021,1057,,,2014_B: 2.8 have you already used organic fertilizers duri,
inorganic,2.10.1 have u already used this inorganic fertilizers,int8,"1=yes, 2=no",2,1021,0,,,,
pp10,2.10.2 Inorgnic Fertilizers used-Type,int8,"1=NPK, 2=UREA, 3=UREA(LIQUID), 4=DAP, 5=OTHER Fertilizers",5,368,404,,,2014_B: 2.10.2 inorgnic fertilizers used-type,
pesticide,2.11.1 have you used this pesticide?,int8,"1=yes, 2=no",2,1023,0,,,,
pp1a,2.11.2 Pesticides used in Season B 2014-Type,int8,"6=DITHANE, 7=RIDOMIL, 8=DIMETHOATE, 9=CYPERMETRINE, 10=DURSIBAN …",8,291,343,,,2014_B: 2.11.2 pesticides used in season b 2014-type,
have_u_already_used_this_in,2.10.1 have u already used this Inorganic Fertilizers,int8,"1=Yes, 2=No",2,0,1057,,,,
have_you_used_this,2.11.1 Have you used this pesticide?,int8,"1=Yes, 2=No",2,0,1057,,,,
