variable,label,type,value_labels,n_value_labels,n_2014_A,n_2014_B,n_2015_A,n_2016_B,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,3375,3430,4067,4838,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,3375,3430,4067,4838,,,,
season,"Season (A, B, C)",string,,0,3375,3430,4067,4838,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,3375,3430,4067,4838,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,3375,3430,4067,4838,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,3375,3430,4067,4838,,,,
plot,Plot number within segment/holder,int32,,0,3375,3430,4067,4838,,,,
crop,Crop code (native list of the wave; see codebook),int16,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Other cereals …",83,2204,3430,4067,4838,,,,"{""44"": [""African cabbage"", ""small eggplants/isogi""], ""48"": [""Broccolli"", ""broccoli""], ""99"": [""Non-Agriculture"", ""non agriculture land""], ""21"": [""Cooking Banana"", ""Cooking Bananas""]}"
plot_area,2.2 plot area,double,,0,3375,3430,4067,0,,,2014_A: 2.5 plot area; 2014_B: 2.2 plot area,
land_use,2.3 Land Use,int8,"96=Agricultural Land, 97=Pasture, 98=Fallow, 99=Non-Agri Land",4,3375,3430,4067,4838,,,2014_A: 2.6 land use; 2014_B: 2.4 land use,"{""97"": [""fallow"", ""pasture""], ""98"": [""fallow"", ""pasture""]}"
non_agri_land_type,2.4 Non-agri land type,int8,"1=Buildings, 2=Road/Path, 3=Forest/Bush, 4=Bare/Rocky soil, 5=Uncultivated marshlands …",8,543,534,513,715,,,2014_A: 2.7 non-agri land type; 2014_B: 2.5 non-agri land type,"{""5"": [""Uncultivated marshlands"", ""water""], ""6"": [""Flooded  marshlands"", ""others""]}"
season_a_crop,2.8 Season A crop,int8,"1=Yes, 2=No",2,2204,0,4067,0,,,2014_A: 2.9 season a crop,
ha,Area by crop in hectare,double,,0,3375,3430,4067,4838,,,2014_A: Area by crop in hectare; 2014_B: Area by crop in hectare; 2015_A: Area by crop in hectare,
season_b_crop,2.8 Season B crop,int8,"1=Yes, 2=No",2,0,3430,0,4838,,,2014_B: 2.8 season b crop,
group_crop,,int8,"1=maize, 2=paddy rice, 3=sorghum, 4=wheat, 5=other cereals …",21,0,2285,0,0,,,,
anti_erosive_practice,2.6.1 Anti_erosion activities done on this plot?,int8,"1=Yes, 2=No",2,0,0,0,4123,,,,
anti_erosive_activities,2.6.2 Anti erosive activity-1,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/grasses …",9,0,0,0,1967,,,,
anti_erosive_activitieu,2.6.2 Anti erosive activity-2,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/grasses …",9,0,0,0,531,,,,
anti_erosive_activitiet,2.6.2 Anti erosive activity-3,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/grasses …",9,0,0,0,84,,,,
ha_phy,,double,,0,0,0,0,4838,,,,
