variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,15110,14153,6792,45976,11828,1287,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,15110,14153,6792,45976,11828,1287,,,,
season,"Season (A, B, C)",string,,0,15110,14153,6792,45976,11828,1287,,,,
wave,Wave id: <year>_<season>,string,,0,95146,95146,95146,95146,95146,95146,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,15110,14153,6792,45976,11828,1287,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,15110,14153,6792,4556,1321,0,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,15110,14153,6792,4556,11828,1287,,,,
stratum,Sampling stratum (as shipped),int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Household/ Village stratum",4,13828,12980,6792,0,0,0,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,15110,14153,6792,45976,11828,1287,,,,
plot,Plot number within segment/holder,int8,,0,15110,14153,6792,4556,11828,1287,,,,
s2q2,2.2 Plot area in sqm,double,,0,15110,14153,6792,4556,1321,0,,"s2q2_v2 (2018_B_ssf, 2018_C_ssf)",2017_A_lsf: 2.2.Plot area(m2); 2017_A_ssf: 2.2.Plot area(sqm); 2017_B_lsf: 2.2 Plot size in (m2); 2017_B_ssf: 2.2.Plot area(sqm); 2017_C_ssf: 2.2 Plot size in (m2); 2018_A_lsf: 2.2 Area m2,
s3q13,3.13 Have you used pesticides in this plot during this season?,int8,"0=No, 1=Yes, 2=No",3,15107,14151,6792,39415,11828,1287,,,2017_A_lsf: 3.13.Have you used pesticide in this plot during t; 2017_A_ssf: 3.13.Have you used pesticide in this plot during t; 2017_B_ssf: 3.13.Have you used pesticide in this plot during t,
