variable,label,type,value_labels,n_value_labels,n_2013_A,n_2014_A,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,64365,100661,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,64365,100661,,,,
season,"Season (A, B, C)",string,,0,64365,100661,,,,
wave,Wave id: <year>_<season>,string,,0,165026,165026,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,64365,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,64365,100661,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,64365,0,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,64365,100661,,,,
plot,Plot number within segment/holder,int8,,0,0,100661,,,,
crop,Crop code (native list of the wave; see codebook),int8,"1=maize, 2=paddy rice, 3=sorghum, 4=wheat, 5=other cereals …",72,64365,84792,,,,"{""16"": [""Flower cabbage"", ""flower cabage""], ""17"": [""Onion"", ""onions""], ""18"": [""Carrot"", ""carrots""], ""22"": [""Banana Fruit"", ""dessert banana""], ""98"": [""Fallow land"", ""fallow""]}"
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,64365,100661,,,,
crop_area_ha,Crop area on the plot (ha) -- CORE map [from area_ha / ha],double,,0,64365,100661,,,,
id2a,An_District,int8,"1=District1, 2=District2, 3=District3, 4=District4, 5=District5 …",30,64365,0,,,,
id7,0.5B Tract number,int16,,0,64365,0,,,,
area_ha,Area in Hectare,double,,0,64365,0,,,,
association,Pure and Mixed cropping,int8,"1=Pure crop, 2=Mixed crop",2,64365,0,,,,
resident_in_the_segment,2.3.6 resident in the segment,int8,"1=resident, 2=not resident",2,0,100661,,,,
land_use,2.6 land use,int8,"96=agricultural land, 97=pasture, 98=fallow, 99=non-agri land",4,0,100661,,,,
non_agri_land_type,2.7 non-agri land type,int8,"1=buildings, 2=road/path, 3=forest/bush, 4=bare/rocky soil, 5=water …",6,0,7249,,,,
season_a_crop,2.9 season a crop,int8,"1=yes, 2=no",2,0,100661,,,,
plot_area,,double,,0,0,100661,,,,
ha,Area by crop in hectare,double,,0,0,100661,,,,
group_crop,,int8,"1=sorghum, 2=maize, 3=wheat, 4=paddy rice, 5=beans …",21,0,84792,,,,
