variable,label,type,value_labels,n_value_labels,n_2013_A,n_2014_A,n_2014_B,n_2014_C,n_2015_A,n_2015_B,n_2016_A,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,117537,125869,25316,1283,27490,25648,138100,133947,2361,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,117537,125869,25316,1283,27490,25648,138100,133947,2361,,,,
season,"Season (A, B, C)",string,,0,117537,125869,25316,1283,27490,25648,138100,133947,2361,,,,
wave,Wave id: <year>_<season>,string,,0,597551,597551,597551,597551,597551,597551,597551,597551,597551,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,3738,1169,1754,0,0,0,7391,1914,0,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,117537,1169,1754,0,0,0,7391,1914,0,,,,
stratum,Sampling stratum (as shipped),int8,,0,113799,124700,23562,1283,27490,25648,130709,132033,2361,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,113799,0,0,0,0,0,0,0,0,,,,
holder,Holder / questionnaire id (as shipped),double,,0,116025,125869,25316,1283,27490,25648,138100,133947,2361,,,,
plot,Plot number within segment/holder,int16,,0,53172,125869,25316,1283,27490,25648,138100,133947,2361,,,,
crop,Crop code (native list of the wave; see codebook),int16,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Other cereals …",83,117537,110000,25293,1283,27490,25648,138085,133947,2361,,,,"{""98"": [""Fallow"", ""Fallow land"", ""Fallow-land"", ""Urajwe"", ""fallow"", ""fallow-land""], ""9"": [""Other legumes & pulses"", ""other legumes"", ""other legumes & pulses"", ""other pulses""], ""16"": [""Flower cabbage"", ""cauliflowers"", ""flower cabage""], ""22"": [""Banana Fruit"", ""dessert banana""], ""17"": [""onion"", ""onions""], ""18"": [""carrot"", ""carrots""], ""44"": [""african cabbage"", ""small eggplants/isogi""], ""48"": [""broccoli"", ""broccolli"", ""brocolli""], ""49"": [""napia grass"", ""napier glass""], ""51"": [""fodder crop"", ""fodder crops""], ""53"": [""olive crop"", ""olive tree""], ""61"": [""mulberry"", ""white mulberry""], ""69"": [""pumpkin"", ""pumpkins""], ""14"": [""tomatoes"", ""tomotoes""], ""15"": [""cabbage"", ""white cabbage""], ""71"": [""palm"", ""palm tree""], ""21"": [""Cooking Banana"", ""Cooking bananas"", ""cooking banana""], ""99"": [""Non-Agri"", ""Uncultivated""]}"
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,113799,124700,0,0,0,0,130709,102381,0,,,,
crop_area_ha,Crop area on the plot (ha) -- CORE map [not in this record type],double,,0,66591,100661,0,0,0,0,0,0,0,,,2013_A_area_a: Crop area on the plot (ha) -- CORE map [from area_; 2013_A_big_farmer_a: Crop area on the plot (ha) -- CORE map [from area_; 2014_A_farmq_screening: Crop area on the plot (ha) -- CORE map [from ha],
id2a,An_District,int8,"1=District1, 2=District2, 3=District3, 4=District4, 5=District5 …",30,116025,0,0,0,0,0,0,0,0,,,,
id7,0.5B Tract number,int16,,0,65877,0,0,0,0,0,0,0,0,,,,
area_ha,Area Hectare,double,,0,66591,0,0,0,0,0,0,0,0,,,2013_A_area_a: Area in Hectare,
association,Pure and mixed cropping,int8,"1=pure crop, 2=mixed crop",2,66591,0,0,0,0,0,110750,0,0,,,2013_A_area_a: Pure and Mixed cropping; 2013_A_big_farmer_a: Pure and mixed cropping,"{""1"": [""Pure Crop Land"", ""Pure crop""], ""2"": [""Mixed Crop Land"", ""Mixed crop""]}"
source_module,Record type of the shipped file this row comes from,string,,0,117537,125869,25316,1283,27490,25648,138100,133947,2361,,,,
c03b,1.3B Specify the crop planted - Crop Name,string,,0,117537,125869,25316,1283,27490,25648,138100,133947,2361,,,,
c05,1.5 Starting date for sowing ? Code,int8,"1=Before 30/4, 2=1-31/5, 3=1-30/6, 4=1-31/7, 5=After 31/07 …",7,50713,22399,22088,816,24436,22689,23492,26929,1662,,,2013_A_date_sowing_production_harvest: Starting date for sowing; 2014_A_farmq_part1: 1.6 starting date for sowing ? code; 2014_A_lsf_farmq_part1: 1.6 starting date for sowing ? code; 2014_B_farmq_part1: 1.3 starting date for sowing ? code; 2014_B_lsf_farmq_part1: 1.3 starting date for sowing ? code; 2014_C_farmq_part1: 1.5 starting date for sowing ? code; 2015_A_farmq_part1: starting date for sowing; 2015_B_farmq_part1: starting date for sowing,"{""1"": [""Before 01/09/12"", ""Before 01/09/2015"", ""Before 30/4"", ""Before 31/12/2015"", ""before 01/09/2013"", ""before 01/09/2014"", ""before 30/04/2014"", ""before 31/12/2013"", ""before 31/12/2014""], ""2"": [""01 to15/09/12"", ""01-15 /09/2013"", ""01-15/09/2014"", ""01-15/09/2015"", ""01-31 /01/2014"", ""01-31 /05/2014"", ""01-31/01/2015"", ""01-31/01/2016"", ""1-31/5""], ""3"": [""01- 28/02/2014"", ""01- 28/02/2015"", ""01- 28/02/2016"", ""01- 30/06/2014"", ""1-30/6"", ""16 to 30/09/12"", ""16- 30/09/2013"", ""16- 30/09/2014"", ""16- 30/09/2015""], ""4"": [""01-15/03/2014"", ""01-15/03/2015"", ""01-15/03/2016"", ""01-15/10/2013"", ""01-15/10/2014"", ""01-15/10/2015"", ""01-31/07/2014"", ""1-31/7"", ""After 30/09/12""], ""5"": [""16- 31/03/2014"", ""16- 31/10/2013"", ""16-31/03/2015"", ""16-31/03/2016"", ""16-31/10/2014"", ""16-31/10/2015"", ""After 31/07"", ""Not applicable"", ""after  31/07/2014""], ""6"": [""After 31/03/2016"", ""After 31/10/2015"", ""No response"", ""after  31/03/2014"", ""after  31/10/2013"", ""after 31/03/2015"", ""after 31/10/2014""]}"
c12,1.12  Do you expect any production on this crop by 28th February 2013?,int8,"1=Yes, 2=No, 3=N/A",3,50634,0,0,0,0,0,0,0,0,,,2013_A_date_sowing_production_harvest: Production expectation by 28th February 2013,
c13,1.13 What is the expected date for harvesting?,int8,"1=Before 01/12/12, 2=01 to 31/12/12, 3=1 to 31/01/13, 4=1 to 28/02/13, 5=After 28/02/13 …",6,50552,0,0,0,0,0,0,0,0,,,2013_A_date_sowing_production_harvest: Expected date for harvesting,
id2,0.2 District,int8,,0,1512,0,0,0,0,0,0,0,0,,,,
seeds,1.6 type of seeds sown,int8,"1=traditional seeds, 2=improved seeds, 3=traditional and improved seeds",3,0,20922,20838,0,0,22688,0,0,0,,,2014_A_farmq_part1: 1.8 type of seeds sowed; 2014_B_farmq_part1: 1.4 type of seeds sowed,"{""3"": [""1 and 2"", ""traditional and improved seeds"", ""tradutional and improved seeds""]}"
resident_in_the_segment,2.3.6 Resident in the segment,int8,"1=Yes, 2=No, 3=NA",3,0,100661,0,0,0,0,105526,102381,0,,,2014_A_farmq_screening: 2.3.6 resident in the segment; 2016_A_screening_a_final: 2.3.6 resident in the segment,"{""1"": [""resident"", ""yes""], ""2"": [""no"", ""not resident""], ""3"": [""NA"", ""n/a""]}"
land_use,2.6 Land Use,int8,"96=Agricultural Land, 97=Pasture, 98=Fallow, 99=Non-Agri Land",4,0,100661,0,0,0,0,110750,102381,0,,,2014_A_farmq_screening: 2.6 land use; 2016_A_screening_a_final_big: 2.3 Land Use; 2016_A_screening_a_final: 2.6 land use,
non_agri_land_type,2.7 Non-agri land type,int8,"1=Buildings, 2=Road/Path, 3=Forest/Bush, 4=Bare/Rocky soil, 5=Uncultivated marshlands …",8,0,7249,0,0,0,0,8028,7375,0,,,2014_A_farmq_screening: 2.7 non-agri land type; 2016_A_screening_a_final_big: 2.4 Non-agri land type; 2016_A_screening_a_final: 2.7 non-agri land type,"{""5"": [""Uncultivated marshlands"", ""water""], ""6"": [""Flooded  marshlands"", ""others""]}"
season_a_crop,2.10 season a crop,int8,"1=yes, 2=no",2,0,100661,0,0,0,0,110734,0,0,,,2014_A_farmq_screening: 2.9 season a crop; 2016_A_screening_a_final_big: 2.8 Season A crop,
plot_area,,double,,0,0,100661,0,0,0,0,0,0,0,,,,
