variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,71465,62792,7853,47812,47353,6560,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,71465,62792,7853,47812,47353,6560,,,,
season,"Season (A, B, C)",string,,0,71465,62792,7853,47812,47353,6560,,,,
wave,Wave id: <year>_<season>,string,,0,243835,243835,243835,243835,243835,243835,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,71465,62792,7853,47812,47353,6560,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,71465,62792,7853,47812,47353,6560,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,71465,62792,7853,47812,47353,6560,,,,
stratum,Sampling stratum (as shipped),int8,"11= Intensive cropland on hillsides, 20= Intensive cropland in marshlands, 30=Rangelands, 40= Household/ Village stratum, 50= Large scale farmer",5,68212,59985,7853,45009,44381,6560,,,,
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,71465,62792,7853,47812,47353,6560,,,,
plot,Plot number within segment/holder,int8,,0,71465,62792,7853,47812,47353,6560,,,,
crop,Crop code (native list of the wave; see codebook),int8,"96=Agricultural Land, 97=Pasture, 98=Fallow, 99=Non-agricultural land, 100=Fruits only",5,71465,62792,7853,47812,47353,6560,,,,
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,68212,59985,7853,45009,44381,6560,,,,
s2q3,2.3 Plot size(square meters),double,,0,71465,62792,7853,47812,47353,6560,,,,
s2q7,2.7 Non- agricultural Land Type,int8,"1=Buildings, 2=Road/Path, 3=Forest/Bush, 4=Bare/Rocky soil, 5=Uncultivated marshlands …",7,4869,4860,758,4130,4008,605,,,2017_A_lsf: 2.7.Non-agricultural land type; 2017_A_ssf: 2.7  Non-agricultural land type; 2017_B_lsf: 2.7. Non-agricultural land type; 2017_B_ssf: 2.7. Non agricultural Land Type,
s2q8,2.8 Cropping System,int8,"1=Pure, 2=Mixed, 3=Not Applicablr",3,61086,53112,4200,39451,39514,3870,,,2017_A_lsf: 2.8.Cropping system; 2017_A_ssf: 2.8  Cropping system; 2017_B_lsf: Cropping system; 2017_B_ssf: 2.8. Cropping system,
s2q9,2.9 Number of main crops in the plot,int8,,0,61086,53112,4200,39451,39514,3870,,,2017_A_ssf: 2.9  Number of main crops in the plot; 2017_C_ssf: 2.9  Number of main crops in the plot; 2018_B_lsf: 2.9 Number of main crops in the plots,
s2q10,2.10 Crop type,int8,"1=Seasonal crops harvested once a season, 2=Seasonal crops harvested more than one time, 3=Perennial crops, 4=Fodder crops, 5=Not-Applicable",5,61085,53109,4200,39451,39514,3870,,,2017_A_lsf: 2.10.Crop type; 2017_A_ssf: 2.10 Crop type/Seasonal or perenial crop; 2017_C_ssf: 2.10. Crop type,
s2q11,2.11 Crop name,int16,"6=Fruits, 7=vegetables, 8=Other crops, 9=Other celeals, 10=Taro&Yarms …",101,61086,53112,4200,39451,39514,3870,,,2017_A_lsf: 2.11.Crop name; 2017_B_lsf: 2.11.Crop name; 2017_B_ssf: 2.11. Crop Name; 2017_C_ssf: 2.11. Crop name; 2018_A_lsf: 2.11.Crop Name; 2018_A_ssf: 2.11 Crop Name; 2018_B_lsf: 2.11.Crop Name,
