variable,label,type,value_labels,n_value_labels,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
season,"Season (A, B, C)",string,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,27564,29525,5057,29217,30066,5063,34477,33192,4937,31778,25388,4916,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
stratum,Sampling stratum (as shipped),int8,"0=Site, 10=Intensive cropland on hillside, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Mixed …",6,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,"{""0"": [""LSF/Site for season C"", ""Large scale farmers"", ""Site""], ""10"": [""10 Intensive cropland on hillsides"", ""Intensive cropland on hillside"", ""Intensive cropland on hillsides""], ""20"": [""20 Intensive cropland in marshlands"", ""Intensive cropland in marshlands""], ""30"": [""30 Rangelands"", ""Rangelands""], ""40"": [""40 Mixed"", ""Mixed""]}"
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
plot,Plot number within segment/holder,int8,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
crop,Crop code (native list of the wave; see codebook),int8,"96=Agricultural, 97=Pasture, 98=Fallow, 99=Non agricultural",4,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,,
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,27391,29429,5057,30468,30020,5063,34477,33192,0,31778,26391,4930,,,,
s1q4,Segment number,int8,,0,25749,25053,5057,25496,25159,5063,28827,33192,4937,0,0,0,,,2020_A: 1.4 Segment number; 2020_B: 1.4 Segment number; 2020_C: 1.4 Segment number; 2021_A: 1.4 Segment number; 2021_B: 1.4 Segment number; 2021_C: 1.4 Segment number; 2022_A: 1.4 Segment number; 2022_B: 1.4 Segment number,
s2q7,2.7 Nonagricultural Land Type,int8,"1=Buildings, 2=Road or Path, 3=Forest or Bush, 4=Bare or Rocky soil, 5=Unmanaged marshland …",7,4018,4020,725,4040,4067,744,4003,4006,774,4126,0,800,,,2021_C: 2.6 Nonagricultural Land Type; 2022_C: 2.6 Nonagricultural Land Type,
s2q10,2.10 Is there any agroforestry practices on this plot?,int8,"1=Yes, 2=No",2,23546,25506,4332,26556,26055,4320,30474,29186,4164,27652,26391,4130,,,2021_C: 2.9 Is there any agroforestry practices on this pl,
