variable,label,type,value_labels,n_value_labels,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,,
season,"Season (A, B, C)",string,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,,
wave,Wave id: <year>_<season>,string,,0,287508,287508,287508,287508,287508,287508,287508,287508,287508,287508,287508,287508,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,30078,29821,5594,32310,33724,5668,35362,34483,4937,34765,28177,4916,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,30078,29822,5594,33847,33799,5668,35362,34483,4937,34765,29371,4930,,,,
stratum,Sampling stratum (as shipped),int8,"0=Site, 10=Intensive cropland on hillside, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Mixed …",6,30078,29822,5594,33847,33799,5668,35362,34483,4937,34765,29371,4930,,,,"{""0"": [""LSF/Site for season C"", ""Large scale farmers"", ""Site"", ""site""], ""10"": [""10 Intensive cropland on hillsides"", ""Intensive cropland on hillside"", ""Intensive cropland on hillsides""], ""20"": [""20 Intensive cropland in marshlands"", ""Intensive cropland in marshlands""], ""30"": [""30 Rangelands"", ""Rangelands""], ""40"": [""40 Mixed"", ""Mixed""]}"
segment,"Segment id (area frame) or LSF id (list frame), as shipped",double,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,,
plot,Plot number within segment/holder,int8,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,,
crop,Crop code (native list of the wave; see codebook),int8,"96=Agricultural, 97=Pasture, 98=Fallow, 99=Non agricultural",4,30078,29822,5594,33847,33799,5668,35362,34483,4937,34765,29371,4930,,,,
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,29870,29703,5594,33707,33673,5668,35362,34483,0,34765,29371,4930,,,,
s1q4,Segment number,int8,,0,28151,27715,5594,28255,27978,5668,28924,34483,4937,0,0,0,,,2020_A: 1.4 Segment number; 2020_B: 1.4 Segment number; 2020_C: 1.4 Segment number; 2021_A: 1.4 Segment number; 2021_B: 1.4 Segment number; 2021_C: 1.4 Segment number; 2022_A: 1.4 Segment number; 2022_B: 1.4 Segment number,
s2q5_2,2.5.2 Farmer ID,int32,,0,29514,29250,5440,27679,27401,5511,28370,33693,4769,27909,23917,4761,,,2021_C: 2.4.2 Farmer ID; 2022_C: 2.4.2 Farmer ID,
s2q7,2.7 Nonagricultural Land Type,int8,"1=Buildings, 2=Road or Path, 3=Forest or Bush, 4=Bare or Rocky soil, 5=Unmanaged marshland …",7,4018,4007,725,4040,4067,744,4005,4006,774,4126,0,800,,,2021_C: 2.6 Nonagricultural Land Type; 2022_C: 2.6 Nonagricultural Land Type,
s2q8,2.8 Is there any antierosion activity on this plot?,int8,"1=Yes, 2=No",2,26060,25815,4869,29807,29732,4924,31357,30476,0,30639,29371,4130,,,2021_C: 2.7 Is there any antierosion activity on this plot,
s2q9,2.9 Types of anti erosion activities,int8,"1=Ditches, 2=Trees/Windbreak/Shelterbelt, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/Grasses …",10,19884,19392,3835,23834,23376,3897,26141,24909,0,24846,23437,0,,,2020_C: 2.9 Types of antierosion activities existing on th,
s2q12,2.12. Is this plot located in land consolidation site in this season?,int8,"1=Yes, 2=No",2,23501,22332,2604,27032,26315,2353,0,0,2346,27322,25710,2115,,,2020_A: 2.12 Is this plot located in land consolidation si; 2020_B: 2.12 Is this plot located in land consolidation si; 2020_C: 2.12 Is this plot located in land consolidation si; 2021_A: 2.12 Is this plot located in land consolidation si; 2021_B: 2.12 Is this plot located in land consolidation si; 2021_C: 2.12 Is this plot located in land consolidation si; 2022_C: 2.12. Is this plot used for land consolidation act,
s2q4,2.4 Plot size (m2),double,,0,0,0,5594,0,0,0,35362,34483,4937,34765,29371,4930,,,2022_C: plot_area,
s2q7_other,2.7 Other Nonagricultural Land Type,string,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,2022_C: 2.6 Other Nonagricultural Land Type,
s2q9_o,2.8 Other types of antierosion activities existing on plot,string,,0,30078,29822,7945,33890,36257,5668,35362,34483,4937,34765,29371,4930,,,2022_C: 2.9_o Other types of antierosion activities existi,
s2q16,2.16 Is this plot located in land consolidation site in this season?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,28423,26775,0,0,0,0,,,,
s2q2,2.2 Number of grid points that fall in this plot,int8,,0,0,0,0,0,0,0,0,0,4937,0,0,0,,,,
