variable,label,type,value_labels,n_value_labels,n_2014_B,n_2014_C,n_2015_A,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,104572,9316,105474,,,,
year,Agricultural year of the season (as in the NISR release),int16,,0,104572,9316,105474,,,,
season,"Season (A, B, C)",string,,0,104572,9316,105474,,,,
wave,Wave id: <year>_<season>,string,,0,0,0,0,,,,
farm_type,"1 small-scale farmer (area frame), 2 large-scale farmer (list frame)",int8,,0,104572,9316,105474,,,,
stratum,Sampling stratum (as shipped),int8,,0,104572,9316,105474,,,,
holder,Holder / questionnaire id (as shipped),int32,,0,104572,9316,105474,,,,
plot,Plot number within segment/holder,int8,,0,104572,9316,105474,,,,
crop,Crop code (native list of the wave; see codebook),int16,"1=maize, 2=paddy rice, 3=sorghum, 4=wheat, 5=other cereals …",79,87712,3975,105474,,,,"{""44"": [""african cabbage"", ""small eggplants/isogi""], ""48"": [""broccoli"", ""broccolli""]}"
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,104572,9316,105474,,,,
resident_in_the_segment,2.3.6 resident in the segment,int8,"1=resident, 2=not resident",2,104572,9074,105474,,,,
anti_erosive_practice,2.8.1 anti_erosive_practice,int8,"1=yes, 2=no",2,104531,9316,105474,,,2014_B: 2.6.1 anti_erosive_practice; 2014_C: 2.6.1 anti_erosive_practice,
anti_erosive_activities,2.8.2 anti erosive activities in this agricultural season,int8,"1=ditches, 2=trees, 3=bench terraces, 4=progressive terraces, 5=cover plants/grasses …",9,60398,6042,62973,,,2014_B: 2.6.2 anti erosive activities in this agricultural; 2014_C: 2.6.2 anti erosive activities in this agricultural,
anti_erosive_activitieu,2.8.2 anti erosive activities in this agricultural season,int8,"1=ditches, 2=trees, 3=bench terraces, 4=progressive terraces, 5=cover plants/grasses …",9,15969,1004,14980,,,2014_B: 2.6.2 anti erosive activities in this agricultural; 2014_C: 2.6.2 anti erosive activities in this agricultural,
anti_erosive_activitiet,2.8.2 anti erosive activities in this agricultural season,int8,"1=ditches, 2=trees, 3=bench terraces, 4=progressive terraces, 5=cover plants/grasses …",9,416,28,692,,,2014_B: 2.6.2 anti erosive activities in this agricultural; 2014_C: 2.6.2 anti erosive activities in this agricultural,
land_use,2.6 land use,int8,"96=agricultural land, 97=pasture, 98=fallow, 99=non-agri land",4,104572,9316,105474,,,2014_B: 2.7 land use; 2014_C: 2.7 land use,
non_agri_land_type,2.7 non-agri land type,int8,"1=buildings, 2=road/path, 3=forest/bush, 4=bare/rocky soil, 5=uncultivated marshlands …",8,7422,1292,7213,,,2014_B: 2.8 non-agri land type; 2014_C: 2.8 non-agri land type,"{""5"": [""uncultivated marshlands"", ""water""], ""6"": [""flooded  marshlands"", ""others""]}"
season_a_crop,2.10 season a crop,int8,"1=yes, 2=no",2,104572,9316,105474,,,2014_C: 2.10 season c crop,
plot_area,,double,,0,104572,0,105474,,,,
ha,Area by crop in hectare,double,,0,104572,9316,105474,,,,
group_crop,,int8,"1=sorghum, 2=maize, 3=wheat, 4=paddy rice, 5=beans …",21,87712,0,89824,,,,
plot_area_sqm,plot area,double,,0,0,9316,0,,,,
group_of_crops,,int8,"1=seasonal crops, 2=annual crops, 3=perenial crops, 4=fodder crops, 5=other crops",5,0,3975,0,,,,
