# SAS checks report

Generated by 03_checks.py.

## A. Pooled crop-production file vs the per-wave cleaned files

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | exact duplicate rows dropped before saving the pooled files (Matteo's rule; all files; informational) | 60,316 |  | n/a |
| A | 2017_A rows == cleaned file rows | 28,484 |  | n/a |
| A | 2017_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2017_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 27,740 |  | n/a |
| A | 2017_B rows == cleaned file rows | 27,120 |  | n/a |
| A | 2017_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2017_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 25,529 |  | n/a |
| A | 2017_C rows == cleaned file rows | 1,907 |  | n/a |
| A | 2017_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2017_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,907 |  | n/a |
| A | 2018_A rows == cleaned file rows | 18,255 |  | n/a |
| A | 2018_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2018_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 16,909 |  | n/a |
| A | 2018_B rows == cleaned file rows | 19,576 |  | n/a |
| A | 2018_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2018_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 18,133 |  | n/a |
| A | 2018_C rows == cleaned file rows | 1,462 |  | n/a |
| A | 2018_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2018_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,461 |  | n/a |
| A | 2019_A rows == cleaned file rows | 32,906 | 32,906 | PASS |
| A | 2019_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2019_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 32,906 |  | n/a |
| A | 2019_B rows == cleaned file rows | 30,493 | 30,493 | PASS |
| A | 2019_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2019_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 30,493 |  | n/a |
| A | 2019_C rows == cleaned file rows | 1,667 | 1,667 | PASS |
| A | 2019_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2019_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,667 |  | n/a |
| A | 2020_A rows == cleaned file rows | 41,313 | 41,313 | PASS |
| A | 2020_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2020_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 41,313 |  | n/a |
| A | 2020_B rows == cleaned file rows | 35,773 | 35,773 | PASS |
| A | 2020_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2020_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 35,695 |  | n/a |
| A | 2020_C rows == cleaned file rows | 4,283 | 4,283 | PASS |
| A | 2020_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2020_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 4,283 |  | n/a |
| A | 2021_A rows == cleaned file rows | 41,634 | 41,634 | PASS |
| A | 2021_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2021_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 41,541 |  | n/a |
| A | 2021_B rows == cleaned file rows | 35,869 | 35,869 | PASS |
| A | 2021_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2021_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 35,799 |  | n/a |
| A | 2021_C rows == cleaned file rows | 3,416 | 3,416 | PASS |
| A | 2021_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2021_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,726 |  | n/a |
| A | 2022_A rows == cleaned file rows | 41,589 | 41,589 | PASS |
| A | 2022_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2022_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 41,589 |  | n/a |
| A | 2022_B rows == cleaned file rows | 36,005 | 36,005 | PASS |
| A | 2022_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2022_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 36,005 |  | n/a |
| A | 2022_C rows == cleaned file rows | 5,818 | 5,818 | PASS |
| A | 2022_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2022_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 5,818 |  | n/a |
| A | 2023_A rows == cleaned file rows | 39,038 | 39,038 | PASS |
| A | 2023_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2023_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 39,038 |  | n/a |
| A | 2023_B rows == cleaned file rows | 36,546 | 36,546 | PASS |
| A | 2023_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2023_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 36,546 |  | n/a |
| A | 2023_C rows == cleaned file rows | 3,566 | 3,566 | PASS |
| A | 2023_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2023_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 3,566 |  | n/a |
| A | 2024_A rows == cleaned file rows | 39,330 | 39,330 | PASS |
| A | 2024_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2024_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 39,330 |  | n/a |
| A | 2024_B rows == cleaned file rows | 35,584 | 35,584 | PASS |
| A | 2024_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2024_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 35,584 |  | n/a |
| A | 2024_C rows == cleaned file rows | 1,949 | 1,949 | PASS |
| A | 2024_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2024_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,949 |  | n/a |
| A | 2025_A rows == cleaned file rows | 34,369 | 34,369 | PASS |
| A | 2025_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
