23:55:01 03_checks INFO ==== 03_checks | run 20260904-235501 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
23:55:04 03_checks INFO 
# SAS checks report

Generated by 03_checks.py.

## A. Pooled plot x crop file by wave

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | 2017_A rows | 28,484 |  | n/a |
| A | 2017_A rows with a weight [informational] | 27,740 |  | n/a |
| A | 2017_A weighted crop area (ha) | 565,925 |  | n/a |
| A | 2017_B rows | 27,120 |  | n/a |
| A | 2017_B rows with a weight [informational] | 25,529 |  | n/a |
| A | 2017_B weighted crop area (ha) | 565,379 |  | n/a |
| A | 2017_C rows | 1,907 |  | n/a |
| A | 2017_C rows with a weight [informational] | 1,907 |  | n/a |
| A | 2017_C weighted crop area (ha) | 20,772 |  | n/a |
| A | 2018_A rows | 18,255 |  | n/a |
| A | 2018_A rows with a weight [informational] | 16,909 |  | n/a |
| A | 2018_A weighted crop area (ha) | 529,447 |  | n/a |
| A | 2018_B rows | 19,576 |  | n/a |
| A | 2018_B rows with a weight [informational] | 18,133 |  | n/a |
| A | 2018_B weighted crop area (ha) | 592,973 |  | n/a |
| A | 2018_C rows | 1,462 |  | n/a |
| A | 2018_C rows with a weight [informational] | 1,461 |  | n/a |
| A | 2018_C weighted crop area (ha) | 16,423 |  | n/a |
| A | 2019_A rows | 32,906 |  | n/a |
| A | 2019_A rows with a weight [informational] | 32,906 |  | n/a |
| A | 2019_A weighted crop area (ha) | 1,091,115 |  | n/a |
| A | 2019_B rows | 30,493 |  | n/a |
| A | 2019_B rows with a weight [informational] | 30,493 |  | n/a |
| A | 2019_B weighted crop area (ha) | 1,016,943 |  | n/a |
| A | 2019_C rows | 1,667 |  | n/a |
| A | 2019_C rows with a weight [informational] | 1,667 |  | n/a |
| A | 2019_C weighted crop area (ha) | 1,748,748 |  | n/a |
| A | 2020_A rows | 41,313 |  | n/a |
| A | 2020_A rows with a weight [informational] | 41,313 |  | n/a |
| A | 2020_A weighted crop area (ha) | 1,233,108 |  | n/a |
| A | 2020_B rows | 35,773 |  | n/a |
| A | 2020_B rows with a weight [informational] | 35,695 |  | n/a |
| A | 2020_B weighted crop area (ha) | 1,015,123 |  | n/a |
| A | 2020_C rows | 4,283 |  | n/a |
| A | 2020_C rows with a weight [informational] | 4,283 |  | n/a |
| A | 2020_C weighted crop area (ha) | 1,915 |  | n/a |
| A | 2021_A rows | 41,634 |  | n/a |
| A | 2021_A rows with a weight [informational] | 41,541 |  | n/a |
| A | 2021_A weighted crop area (ha) | 2,682,480 |  | n/a |
| A | 2021_B rows | 35,869 |  | n/a |
| A | 2021_B rows with a weight [informational] | 35,799 |  | n/a |
| A | 2021_B weighted crop area (ha) | 2,229,250 |  | n/a |
| A | 2021_C rows | 3,416 |  | n/a |
| A | 2021_C rows with a weight [informational] | 1,726 |  | n/a |
| A | 2021_C weighted crop area (ha) | 15,746 |  | n/a |
| A | 2022_A rows | 41,589 |  | n/a |
| A | 2022_A rows with a weight [informational] | 41,589 |  | n/a |
| A | 2022_A weighted crop area (ha) | 1,029,374 |  | n/a |
| A | 2022_B rows | 36,005 |  | n/a |
| A | 2022_B rows with a weight [informational] | 36,005 |  | n/a |
| A | 2022_B weighted crop area (ha) | 918,950 |  | n/a |
| A | 2022_C rows | 5,818 |  | n/a |
| A | 2022_C rows with a weight [informational] | 5,818 |  | n/a |
| A | 2022_C weighted crop area (ha) | 0 |  | n/a |
| A | 2023_A rows | 39,038 |  | n/a |
| A | 2023_A rows with a weight [informational] | 39,038 |  | n/a |
| A | 2023_A weighted crop area (ha) | 980,533 |  | n/a |
| A | 2023_B rows | 36,546 |  | n/a |
| A | 2023_B rows with a weight [informational] | 36,546 |  | n/a |
| A | 2023_B weighted crop area (ha) | 956,244 |  | n/a |
| A | 2023_C rows | 3,566 |  | n/a |
| A | 2023_C rows with a weight [informational] | 3,566 |  | n/a |
| A | 2023_C weighted crop area (ha) | 0 |  | n/a |
| A | 2024_A rows | 39,330 |  | n/a |
| A | 2024_A rows with a weight [informational] | 39,330 |  | n/a |
| A | 2024_A weighted crop area (ha) | 0 |  | n/a |
| A | 2024_B rows | 35,584 |  | n/a |
| A | 2024_B rows with a weight [informational] | 35,584 |  | n/a |
| A | 2024_B weighted crop area (ha) | 0 |  | n/a |
| A | 2024_C rows | 1,949 |  | n/a |
| A | 2024_C rows with a weight [informational] | 1,949 |  | n/a |
| A | 2024_C weighted crop area (ha) | 0 |  | n/a |
| A | 2025_A rows | 34,369 |  | n/a |
| A | 2025_A rows with a weight [informational] | 34,369 |  | n/a |
