wave,n,n_wt,sum_wt,prod
2017_A,28484,27740,15641241.09720993,65779407.60526578
2017_B,27120,25529,13796867.76618028,74205974.39999935
2017_C,1907,1907,479437.8075301647,733571.5900000002
2018_A,18255,16909,11303775.02474213,72665593.64999984
2018_B,19576,18133,11323146.0206871,73673963.35999997
2018_C,1462,1461,349500.8245754242,607797.6799999998
2019_A,32906,32906,15330506.76222753,84025314
2019_B,30493,30493,14735773.47312832,89290996
2019_C,1667,1667,364385.3940144044,574407.0099999997
2020_A,41313,41313,30775511.8546232,96987056
2020_B,35773,35695,26058301.79442978,93538342.4899991
2020_C,4283,4283,19264.12088800245,2581558
2021_A,41634,41541,31213435.44748116,109372274.4299993
2021_B,35869,35799,25113833.48685074,110571513.6000002
2021_C,3416,1726,448697.9567941427,2463867
2022_A,41589,41589,34993485.54758477,152320988.089999
2022_B,36005,36005,29070465.29715252,98298130.83999962
2022_C,5818,5818,589693.5402670673,4513197
2023_A,39038,39038,31499394.65820551,114084305.5699992
2023_B,36546,36546,28704080.62624145,112180243.7400007
2023_C,3566,3566,1118164.749035835,2654626
2024_A,39330,39330,35243844.13869774,126956524
2024_B,35584,35584,30534218.04764366,110098530
2024_C,1949,1949,704473.3778518686,1001630
2025_A,34369,34369,36857603.70397341,123858221
2025_B,32920,32920,35529454.77222133,105925129
2025_C,1884,1884,891580.9833623457,851639
