native,clean_stem,clean_label
aweight,area_weight,"Area weight, NISR derived, no label shipped"
consum_ratio,share_consumed,"Share of production consumed by the household, NISR ratio"
exchanged_ratio,share_exchanged,"Share of production exchanged, NISR ratio"
feed_ratio,share_animal_feed,"Share of production used as animal feed, NISR ratio"
gift_ratio,share_given,"Share of production given away, NISR ratio"
harvest_ratio,share_harvested,"Share harvested, NISR ratio"
harvesting_ratio,share_lost_harvesting,"Share of production lost at harvesting, NISR ratio"
lost_ratio,share_lost,"Share of production lost, NISR ratio"
other_ratio,share_other_use,"Share of production used in other ways, NISR ratio"
packaging_ratio,share_lost_packaging,"Share of production lost in packaging, NISR ratio"
post_harvest,post_harvest_loss,"Post-harvest loss, NISR derived, no label shipped"
processing_ratio,share_processed,"Share of production processed, NISR ratio"
production_harvestinglos,production_harvest_loss,"Production lost at harvesting, NISR derived, no label shipped"
rent_ratio,share_rent_payment,"Share of production used to pay rent, NISR ratio"
sales_ratio,share_sold_sales,"Share of production sold, NISR ratio"
seed_ratio,share_kept_seeds,"Share of production kept as seeds, NISR ratio"
sold_ratio,share_sold,"Share of production sold, NISR ratio"
stock_ratio,share_stored,"Share of production stored, NISR ratio"
storage_ratio,share_lost_storage,"Share of production lost in storage, NISR ratio"
transport_ratio,share_lost_transport,"Share of production lost in transport, NISR ratio"
wage_ratio,share_wage_payment,"Share of production used to pay wages, NISR ratio"
harvested_crop_area_ha,harvested_crop_area_nisr,"Harvested crop area in hectares, NISR derived, no label shipped"
yield,yield_shipped,Yield as shipped by NISR
s2q15_b,traditional_seeds_value_2025,"Value of traditional seeds sown in this plot, Rwandan francs"
s2q18_b,improved_seeds_value_2025,"Value of improved seeds sown in this plot, Rwandan francs"
s2q25_other,qty_transformed_other_2025,Quantity transformed and used in other ways
s2q24_a,s2q24_a_unlabelled,"Item s2q24_a as shipped, no label"
s2q24_b,s2q24_b_unlabelled,"Item s2q24_b as shipped, no label"
s2q24_c,s2q24_c_unlabelled,"Item s2q24_c as shipped, no label"
finalplot_weight,plot_weight_final,"Final plot weight, NISR derived"
harv_area,harvested_crop_area_shipped,Harvested crop area as shipped
age_group,age_group_unlabelled,"Column age_group as shipped, no label"
association,association_unlabelled,"Column association as shipped, no label"
group_crop,group_crop_unlabelled,"Column group_crop as shipped, no label"
group_crop_v2,group_crop_v2_unlabelled,"Column group_crop_v2 as shipped, no label"
group_crop_v3,group_crop_v3_unlabelled,"Column group_crop_v3 as shipped, no label"
group_of_crops,group_of_crops_unlabelled,"Column group_of_crops as shipped, no label"
ha,ha_unlabelled,"Column ha as shipped, no label"
ha_phy,ha_phy_unlabelled,"Column ha_phy as shipped, no label"
plot_area,plot_area_unlabelled,"Column plot_area as shipped, no label"
plot_id,plot_id_unlabelled,"Column plot_id as shipped, no label"
q_3_10_other,q_3_10_other_unlabelled,"Column q_3_10_other as shipped, no label"
s3q10,s3q10_unlabelled,"Column s3q10 as shipped, no label"
s3q20,s3q20_unlabelled,"Column s3q20 as shipped, no label"
s3q21,s3q21_unlabelled,"Column s3q21 as shipped, no label"
s3q22,s3q22_unlabelled,"Column s3q22 as shipped, no label"
s3q23,s3q23_unlabelled,"Column s3q23 as shipped, no label"
s3q24,s3q24_unlabelled,"Column s3q24 as shipped, no label"
s2q2_ha,s2q2_ha_unlabelled,"Column s2q2_ha as shipped, no label"
stage,stage_unlabelled,"Column stage as shipped, no label"
