native,clean_stem,clean_label
a14d,start_day,Day the interview started
a14h,start_hour,Hour the interview started
a14m,start_month,Month the interview started
a14min,start_minute,Minute the interview started
a14y,start_year_2011_2023,Year the interview started
a15d,end_day,Day the interview ended
a15h,end_hour,Hour the interview ended
a15m,end_month,Month the interview ended
a15min,end_minute,Minute the interview ended
a15y,end_year_2011_2023,Year the interview ended
afs4,cost_aids_programs,Cost of all AIDS and HIV programs and activities in FY2010
b1_rwa,legal_status_rwanda,Legal status of the establishment on the Rwanda list of company forms
b1x,legal_status_other,Other legal status specified
c1a,sales_manufacturing,Percentage of sales from manufacturing
c1b,sales_services,Percentage of sales from services
c1c,sales_other_activity,Percentage of sales from other activities
c1cx,other_activity,Other activity specified
c2a1,sales_paid_before,Percentage of sales paid for before delivery
c2a2,sales_paid_on_delivery,Percentage of sales paid for on delivery
c34b,water_unit,Unit of measure of the water consumption reported
c34bx,water_unit_other,Other unit of measure of water consumption specified
c35b,losses_water_shortages,Value of the losses due to water shortages in the last fiscal year
c3a1,first_product_name,Name and description of the first main product
c3b1,second_product_name,Name and description of the second main product
c3b2,second_product_isic,Four-digit ISIC code of the second main product
c3b3,second_product_sales,Percentage of total sales from the second main product
c41b,losses_internet,Value of the losses due to internet disruptions in the last fiscal year
c6b3a1,export_country_first,Name of the first export destination country
c6b3a2,export_share_first,Percentage of exports to the first destination country
c6b3b1,export_country_second,Name of the second export destination country
c6b3b2,export_share_second,Percentage of exports to the second destination country
c8,outage_hours,"Average duration of power outages in a typical month, in hours"
c8a5x,incentive_other,Other export or investment incentive specified
c8bx,no_incentive_other,Other main reason for using no export or investment incentive
c9b,losses_power_outages,Value of the losses due to power outages in the last fiscal year
callback,callback_made,The interview required a callback
cards,show_cards,Set of show cards used in the interview
d1a2,product_isic_rev_3,"Main product or service, ISIC Revision 3.1 code"
d1a2_v4,product_isic_rev_4,"Main product or service, ISIC Revision 4 code"
d1a6c,hotel_room_area_unit,Unit of measure of the total area of the hotel rooms
d1a6cx,hotel_room_unit_other,Other unit of measure of the hotel room area specified
d2,total_annual_sales,Total annual sales in the last fiscal year
d2a1,sales_two_years_ago,Total sales two fiscal years ago
d2a1x,written_sales_2_years,Sales two years ago written out in words
d2x,sales_written_out,Total annual sales written out in words
d36a,days_border_export,Average days for exported goods to clear all border controls
d6,export_losses_theft,"Export losses due to theft, as a share of the value of the shipment"
d7,export_losses_breakage,"Export losses due to breakage or spoilage, as a share of the shipment"
e31b,market_share_largest,Market share of the largest competitor in the last fiscal year
g7a,losses_breakage,Percentage of domestic shipments lost to breakage in transit
