family,stage,file,variable,label
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,Segment_ID,Segment_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q0,0.0 Is there any household in the segment?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q1,0.1 Province
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q2,0.2 District
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q5,0.5 House number
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q6,0.6 Household Number
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q7,0.7 Names of Household head
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q8,0.8 Contact of Household head
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q9,0.9 Is the respondent the Household head?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q10,0.10 Names of the respondent if not the Household head
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q11,0.11 Contact of the respondent if not the Household head
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q12,0.12 Relationship to the Household head
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q13,0.13 What is the agricultural activity of the Household?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q14,0.14 Is any member of the Household belonging to any agricultural cooperative?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q15,0.15 Which type of Agriculture cooperative or association?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q16,0.16 Total Number of Household members
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q17,0.17 Date of interview
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q18,0.18 Enumerator code
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q19,0.19 Team Leader code
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q20,0.20 Regional supervisor name
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,s0q21,0.21 Control results
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s0_general_information.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s0q1,0.1 Province
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s0q2,0.2 District
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_1,10.1.1 Lactating cow number
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_2,10.1.2 Lactating cow race
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_3_1,10.1.3.1 Lactating time  length at high lactation period(in days)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_3_2,10.1.3.2 Lactating time  length at high low period(in days)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_3_3,"10.1.3.3 Lactating time  length, whole lactation period(in days)"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_4_1,10.1.4.1 Dail milk production at high lactating period (in liters)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_4_2,10.1.4.2 Dail milk production at low lactating period (in liters)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_5,10.1.5 Months and year of calving
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_6,10.1.6 Has your cattle has any problem that caused low milk yield during
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,s10q1_7,10.1.7 What are major problems among the following that caused low milk
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_1_cattle_milk_production.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s0q2,0.2 District Name
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_1,10.2.1 Lactation period
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_2,10.2.2 Average daily quantity consumed
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_3,10.2.3 Average daily quantity given to others
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_4,10.2.4 Average daily quantity processed in farm/at home
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_5,10.2.5 Average daily quantity used in other way
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_6,10.2.6 Average daily quantity sold to milk collection site
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_7,10.2.7 Price(Rwf)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_8,10.2.8 Average daily quantity sold to others
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_9,10.2.9 Price(Rwf)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,s10q2_10,10.2.10 Average daily quantity of milk lost
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_2_cattle_milk_production_use.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s0q2,0.2 District
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_1,10.3.1 Type of bee hive
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_2,10.3.2 Number of bee hives hung during 12 months
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_3,10.3.3 Quantity of honey Production during 12 months (Kg)
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_4,10.3.4 Quantity of produced honey that has been consumed at home during 12 month
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_5,10.3.5 Sale In last 12 months-Qty
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_6,10.3.6 Sale In last 12 months-Sale price
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,s10q3_7,10.3.7 Honey stored at the end of August v2017
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s10_3_honey_production.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s0q1,0.1 Province Name
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s0q2,0.2 District Name
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q1,11.1 Animal category
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q2,11.2 Amount spent on rent for land grazing
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q3,11.3 Amount spent on purchasing fodder crop
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q4,11.4 Amount spent on purchasing feed
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q5,11.5 Amount spent on purchasing salt and minerals
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q6,11.6 Amount spent on purchasing artificial insemination
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q7,"11.7 Amount spent on purchasing vaccines,dips,sprays and medecine"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q8,11.8 Amount spent on purchasing veterinary services
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q9,"11.9 Amount spent on purchasing repairs of fencing, sheds"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q10,"11.10 Amount spent on purchasing new fences, sheds"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q11,"11.11 Amount spent on purchasing Pesticides used to protect animal from insects,"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q12,11.12 Amount spent on farm maintenance activities
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q13,11.13 Amount spent on purchasing payment of Shepherds
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,s11q14,11.14 purchasing Other expenditures
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s11_animal_inputs_and_services.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s0q1,0.1 Province
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s0q2,0.2 District
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q1,Household member number
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q2,1.2 Household member names
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q3,1.3 What is the member relationship with the household Head?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q4,1.4 What is the sex of household member?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q5,1.5 What is the age of household member?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q6,1.6 Did this child schooled?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q7,1.7 What is the highest level of education attained by the household member?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q8,1.8 What is the main economic activity of household member?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q9,1.9 Where the farming activity is located?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q10,1.10 Average number of Hours/day that the household member worked per day in Sea
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q11,1.11 Number of days that the household member worked in Sept -16
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q12,1.12 Number of days that the household member worked in Oct-16
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q13,1.13 Number of days that the household member worked in Nov-16
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q14,1.14 Number of days that the household member worked in Dec-16
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q15,1.15 Number of days that the household member worked in Jan-17
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q16,1.16 Average number of Hours/day that the household member worked per day in Sea
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q17,1.17 Number of days that the household member worked in Feb  -17
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q18,1.18 Number of days that the household member worked in March  -17
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q19,1.19 Number of days that the household member worked in April  -17
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q20,1.20 Number of days that the household member worked in May -17
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,s1q21,1.21 Number of days that the household member worked in Jun-17
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s1_household_members_characteristics.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s0q1,0.1 Province
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s0q2,0.2 District
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s0q3,0.3 Stratum
