workstream,name,unit,eicv7_code,harmonised_name,label,source,n_categories,categories
labour,worked_own_farm_unpaid,person,s6aq2,eicv_worked_farm_2017_2024,EICV 2017-2024: Worked on own farm no payment,harmonised,2,1=Yes; 2=No
labour,farm_products_obtained,person,s6aq3,eicv_products_obtained_agri_2024,EICV 2024: Products obtained from this agricultural activity for,harmonised,4,1=Only for sale/barter; 2=Mainly for sale/barter; 3=Mainly for family use; 4=Only for family use
labour,any_agricultural_activity,person,s6aq4,eicv_carry_agri_activity_2024,EICV 2024: Carry out any agricultural activity,harmonised,2,1=Yes; 2=No
labour,worked_wage_nonfarm,person,s6aq5,eicv_worked_salary_wages_2024,EICV 2024: Worked for salary or wages in non-farm sector,harmonised,2,1=Yes; 2=No
labour,ran_nonfarm_business,person,s6aq6,eicv_run_non_farm_biz_cash_2024,EICV 2024: Run a non-farm business for cash or profit,harmonised,2,1=Yes; 2=No
labour,worked_in_nonfarm_business,person,s6aq7,eicv_rooms_previous_2024,EICV 2024: Rooms in the previous dwelling (NISR label reads 'how may'),harmonised,2,1=Yes; 2=No
labour,worked_unpaid_trainee,person,s6aq8,eicv_work_unpaid_trainee_2024,EICV 2024: Work as an unpaid trainee worker or as a volunteer worker in any,harmonised,2,1=Yes; 2=No
labour,temporarily_absent_activity,person,s6aq9,eicv_economic_activ_job_biz_2024,EICV 2024: Any economic activity from which the person was tempo,harmonised,2,1=Yes; 2=No
labour,reason_not_working,person,s6aq10,eicv_main_reason_not_working,EICV 2024: Main reason not working over the last 7 days,harmonised,10,"1=Sick leave due to own illness or injury; 2=Public holidays, vacation or annual leave; 3=Maternity or paternity leave as specified by legislation; 4=Educational leave; 5=Parental leave/ Care for others and other personal absences; 6=Seasonal work; 7=Strikes or lockouts; 8=Reduction in economic activity (e.g. temporary lay-off, slack work); 9=Laid off / Business closed; 10=Other Specify"
labour,income_during_absence,person,s6aq11,eicv_receiving_income_economic,EICV 2024: Receiving an income from their economic activity during absence?,harmonised,2,1=Yes; 2=No
labour,absence_under_3_months,person,s6aq12,eicv_work_period_less_months,EICV 2024: To work for a period less than 3 months?,harmonised,3,1=Yes; 2=No; 9=Do not know
labour,hours_usual_per_week,person,s6bq1,eicv_hours_work_week,Hours usually work in the all economic activities over a week,raw,0,
labour,hours_actual_last_7d,person,s6bq2,eicv_hours_work_economic_2_2024,EICV 2024: Hours actually work in all economic activities last 7 days,harmonised,0,
labour,occupation_isco1,person,s6bq3,eicv_isco_level1_2024,EICV 2024: ISCO level 1,harmonised,9,"1=Managers; 2=Professionals; 3=Technicians and associate professionals; 4=Clerical Support Workers; 5=Service and Sales Workers; 6=Skilled Agricultural,Forestry and Fishery Workers; 7=Craft and Related Trades Workers; 8=Plant and Machine Operators, and Assemblers; 9=Elementary Occupations"
labour,industry_isic1,person,s6bq4,eicv_isic_level1_2024,EICV 2024: ISIC level 1,harmonised,21,"1=A:Agriculture, Forestry and Fishing; 2=B:Mining and Quarrying; 3=C:Manufacturing; 4=Electricity, Gas and Air Conditioning Supply; 5=Water Supply,Gas, and Remediation Services; 6=F:Construction; 7=Wholesale and Retail trade, Repair of Motor Vehicles and Motorcycles; 8=Transportation and Storage; 9=Accommodation and Food Services Activities; 10=Information and Communication; 11=Financial and Insurance Activities; 12=Real Estate Activities; 13=Professional, Scientific and Technical Activities; 14=Administrative and Support Activities; 15=Public Administration and Defense;Compulsory Social Security; 16=Education; 17=Human Health and Social Work Activities; 18=Arts,Entertainment and Recreation; 19=Other Service Activities; 20=Activities of Households as Employers; 21=Activities of Extraterritorial Organizations and Bodies"
